pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,torso_ang_vel_x,torso_ang_vel_y,torso_ang_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,right_upper_arm_ang_vel_x,right_upper_arm_ang_vel_y,right_upper_arm_ang_vel_z,right_lower_arm_ang_vel_x,right_lower_arm_ang_vel_y,right_lower_arm_ang_vel_z,right_hand_ang_vel_x,right_hand_ang_vel_y,right_hand_ang_vel_z,left_upper_arm_ang_vel_x,left_upper_arm_ang_vel_y,left_upper_arm_ang_vel_z,left_lower_arm_ang_vel_x,left_lower_arm_ang_vel_y,left_lower_arm_ang_vel_z,left_hand_ang_vel_x,left_hand_ang_vel_y,left_hand_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.8180202,-0.3573055,0.12639353,0.025257448,-0.44059315,-0.07644262,0.07210754,0.14551821,-0.04038953,-0.27148876,1.068234,-0.62468207,-1.143843,2.9721966,-1.255003,-1.143843,2.9721966,-1.255003,-0.11078641,-1.5937222,-0.77588207,-0.13081345,-1.915111,-0.8014482,-0.1308134,-1.915111,-0.8014483,-0.8457286,-2.5415049,-1.0866333,-1.0417455,3.1457164,-0.5323267,-1.9434236,2.9781816,-0.6610266,-0.564394,0.74143887,0.6518994,-0.6059016,1.9336765,0.6109937,-0.61805975,0.92449963,-0.4502885
1.1262026,-0.48331398,0.19816022,0.027265461,-0.5519552,-0.12821496,0.10381713,0.24522264,-0.044380944,-0.34436974,1.5113665,-0.99896806,-1.5400862,4.1554146,-1.8640379,-1.5400862,4.1554146,-1.8640379,-0.13145255,-2.3898766,-1.1990778,-0.16791084,-2.892397,-1.239625,-0.1679108,-2.892397,-1.2396251,-1.287783,-3.6625576,-1.500732,-1.4806834,4.102886,-0.83113235,-2.6105454,3.6960113,-0.9480716,-0.7194118,0.9527581,0.75762695,-0.7980286,2.9895163,0.67969716,-0.8353709,1.1782327,-0.44637358
1.3547469,-0.5256489,0.24947809,0.015193078,-0.49574262,-0.18538737,0.120371096,0.334507,-0.04256252,-0.37287498,1.8880972,-1.4406248,-1.7620237,5.018103,-2.4485276,-1.7620237,5.018103,-2.4485276,-0.11558096,-3.194391,-1.6262609,-0.17336808,-3.870955,-1.682586,-0.17336804,-3.870955,-1.682586,-1.7107706,-4.6573725,-1.7649388,-1.8155649,4.426093,-1.1242535,-2.909534,3.6671915,-1.1752467,-0.7665931,1.0972173,0.65486276,-0.8867352,4.0021605,0.5336668,-0.92935646,1.280563,-0.24333817
1.4761231,-0.42977282,0.22454917,-0.012564902,-0.21670727,-0.23733093,0.10410239,0.36345026,-0.044758577,-0.37366062,2.183107,-1.9218562,-1.7682195,5.4055877,-2.9391334,-1.7682195,5.4055877,-2.9391334,-0.057170566,-3.928189,-1.9799383,-0.13981496,-4.732156,-2.0512543,-0.13981494,-4.732156,-2.0512545,-2.0112898,-5.4484105,-1.8020157,-1.9610279,3.9472861,-1.3282713,-2.7002685,2.7687557,-1.2763449,-0.7071647,1.2679106,0.34394833,-0.8562158,4.7169,0.1896796,-0.84326875,1.2673365,0.117748454
1.4789745,-0.18975884,0.077296875,-0.04576871,0.20435701,-0.28659537,0.04615515,0.30729905,-0.059110302,-0.38727054,2.4263864,-2.401128,-1.6130792,5.3483963,-3.3029017,-1.6130792,5.3483963,-3.3029017,0.03250676,-4.523849,-2.2075546,-0.07948124,-5.404249,-2.2948487,-0.07948127,-5.4042497,-2.2948492,-2.1007926,-6.067342,-1.6114988,-1.8836861,2.7672417,-1.3693119,-2.0661702,1.1418391,-1.2022992,-0.5879949,1.593982,-0.07338361,-0.73936915,4.981388,-0.23343529,-0.60045207,1.2422627,0.49738827
1.3483318,0.1296778,-0.15561481,-0.06584209,0.5747521,-0.3657696,-0.043946356,0.19630627,-0.085057795,-0.44200233,2.6316774,-2.8139622,-1.3890225,4.968075,-3.5183632,-1.3890225,4.968075,-3.5183632,0.12804706,-4.8964186,-2.2937925,-0.022197708,-5.841622,-2.4034874,-0.022197833,-5.841624,-2.4034882,-1.9396832,-6.52882,-1.2477714,-1.6043451,1.1206301,-1.2139935,-1.2575163,-0.954568,-0.93384296,-0.45608768,2.1338603,-0.45248166,-0.58262086,4.80904,-0.58286166,-0.2950313,1.2972828,0.7440884
1.1009829,0.40771213,-0.30973834,-0.05915567,0.7301494,-0.53227293,-0.13780338,0.10074118,-0.11930397,-0.52992326,2.7674527,-3.086825,-1.1686714,4.3944154,-3.5668337,-1.1686714,4.3944154,-3.5668337,0.19713958,-4.9682703,-2.2549317,-0.0050842543,-6.0162873,-2.399083,-0.005084522,-6.0162916,-2.399084,-1.5684016,-6.7474976,-0.7919576,-1.2033652,-0.72995555,-0.8858908,-0.5478003,-3.2008307,-0.5087834,-0.3341574,2.842444,-0.6735616,-0.4203891,4.3318367,-0.7425874,-0.03860191,1.4887171,0.782236
0.8097306,0.5370276,-0.1907643,-0.027221665,0.65089583,-0.8252893,-0.20132087,0.080830224,-0.16582799,-0.6149982,2.785162,-3.1772559,-0.9842685,3.7382576,-3.4535892,-0.9842685,3.7382576,-3.4535892,0.21482173,-4.7218847,-2.1280673,-0.05454288,-5.9318585,-2.3206894,-0.054543246,-5.931865,-2.3206916,-1.0949875,-6.595056,-0.3221031,-0.79744005,-2.550588,-0.44985938,-0.108586304,-5.2682867,-0.017199075,-0.22373223,3.6143348,-0.68994486,-0.26824114,3.7025957,-0.6781196,0.09903789,1.864724,0.6320232
0.5546428,0.51015687,0.21660404,0.016526582,0.4371413,-1.2084976,-0.21537742,0.14227717,-0.23524891,-0.66288114,2.6680737,-3.1078763,-0.8383066,3.0868034,-3.2282765,-0.8383066,3.0868034,-3.2282765,0.18131775,-4.215995,-1.960955,-0.16677505,-5.630449,-2.212769,-0.16677524,-5.6304564,-2.2127712,-0.6309685,-6.04005,0.116941035,-0.47447306,-4.1827464,0.026337147,0.028505325,-6.9511137,0.45347753,-0.11589872,4.3336196,-0.5452655,-0.12501526,3.03152,-0.44863075,0.11616663,2.471409,0.3592088
0.36200196,0.42744055,0.67493135,0.057981018,0.20279922,-1.5677341,-0.18716483,0.23334478,-0.33564398,-0.66314906,2.4517226,-2.9584906,-0.7223036,2.501174,-2.9740012,-0.7223036,2.501174,-2.9740012,0.12737814,-3.5584502,-1.799745,-0.30255824,-5.179687,-2.1135397,-0.30255783,-5.179692,-2.11354,-0.23983584,-5.2058,0.51989925,-0.25060394,-5.5667214,0.4972487,-0.06320523,-8.232686,0.8612617,-0.002157376,4.9123445,-0.34795,0.017637214,2.374832,-0.1767838,0.066171184,3.3319418,0.026085379
