pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,torso_lin_vel_x,torso_lin_vel_y,torso_lin_vel_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,right_upper_arm_lin_vel_x,right_upper_arm_lin_vel_y,right_upper_arm_lin_vel_z,right_lower_arm_lin_vel_x,right_lower_arm_lin_vel_y,right_lower_arm_lin_vel_z,right_hand_lin_vel_x,right_hand_lin_vel_y,right_hand_lin_vel_z,left_upper_arm_lin_vel_x,left_upper_arm_lin_vel_y,left_upper_arm_lin_vel_z,left_lower_arm_lin_vel_x,left_lower_arm_lin_vel_y,left_lower_arm_lin_vel_z,left_hand_lin_vel_x,left_hand_lin_vel_y,left_hand_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
1.3552288,-0.037981138,-0.21150546,1.2862461,-0.1914894,-0.19337443,1.2097025,-0.1990672,-0.17362174,1.1875973,-0.19967721,-0.17758581,0.9226996,-0.24146535,-0.13284531,0.9720648,-0.48984662,-0.7859858,1.2139113,-0.19735584,-0.18285319,1.5142138,-0.12774386,-0.37428164,1.6219633,-0.29020467,-0.004349677,1.3612186,-0.042623766,-0.2659366,2.2086885,-0.21968329,-0.48976314,1.9915076,-0.11709108,0.53269106,1.349239,-0.03333845,-0.15707432,1.124609,-0.094187416,-0.27894032,0.5162509,-0.2826927,-0.26649418
2.0184388,-0.053124946,-0.32846996,1.9169642,-0.27973393,-0.30387473,1.8107568,-0.29070878,-0.27682674,1.7760062,-0.29139158,-0.28181118,1.3687356,-0.3396676,-0.2117101,1.4146138,-0.7378758,-1.1821917,1.8206613,-0.28749746,-0.29026946,2.3067312,-0.17295533,-0.58094096,2.4574144,-0.43822026,0.01469233,2.0290954,-0.059198096,-0.40879047,3.3318753,-0.3727853,-0.7074309,3.053167,-0.17901193,0.7427298,2.0077825,-0.047051717,-0.24814944,1.6951241,-0.14179291,-0.41496974,0.69728506,-0.40984276,-0.3657472
2.590355,-0.06174147,-0.43800658,2.4681292,-0.35127065,-0.41085723,2.356569,-0.3638947,-0.38286904,2.311034,-0.36425635,-0.38682404,1.7618742,-0.4007723,-0.28832546,1.7711099,-0.9600411,-1.5211664,2.3758962,-0.35869017,-0.39846542,3.0734205,-0.19487742,-0.7790191,3.2434783,-0.5730195,0.064130574,2.6057115,-0.06810114,-0.5406341,4.352712,-0.551704,-0.85257393,4.0693855,-0.23873998,0.8542471,2.5749984,-0.055381726,-0.3353791,2.1934364,-0.1867966,-0.5317844,0.77921456,-0.50348836,-0.41240978
2.965442,-0.06103374,-0.510347,2.8487098,-0.39229864,-0.48600054,2.7741375,-0.40341115,-0.4676931,2.7241557,-0.40289494,-0.46751207,2.0494566,-0.4063824,-0.3369436,1.9866147,-1.1127537,-1.7122253,2.8062644,-0.39604223,-0.4812771,3.7196655,-0.18892327,-0.9216725,3.8676817,-0.66976845,0.15644617,2.9819255,-0.0663785,-0.62785304,5.0987697,-0.7192884,-0.85945106,4.8729725,-0.28645104,0.81403434,2.9489584,-0.055688925,-0.39284098,2.5015028,-0.22419426,-0.60781837,0.7437697,-0.53766644,-0.3865652
3.144747,-0.053453658,-0.52613026,3.0668123,-0.40090942,-0.50890964,3.0687742,-0.4082875,-0.50992,3.0209951,-0.4064001,-0.5032631,2.2397604,-0.36217323,-0.33358684,2.0834155,-1.1828547,-1.7182586,3.1161206,-0.39893597,-0.5169815,4.2289367,-0.16400647,-0.97605693,4.3073845,-0.72044796,0.29740515,3.1543007,-0.057092674,-0.64954203,5.5514326,-0.8286496,-0.70513046,5.4161205,-0.3161432,0.6300643,3.1351936,-0.049814593,-0.40271848,2.5815985,-0.25301254,-0.64227915,0.6368895,-0.5123797,-0.30367923
3.1974676,-0.044639695,-0.48023838,3.1847343,-0.37921768,-0.47190303,3.2732542,-0.38503358,-0.49443877,3.226679,-0.38147518,-0.4819346,2.3581398,-0.2864666,-0.26409778,2.1088278,-1.1779017,-1.5531086,3.3391445,-0.37382436,-0.4926098,4.6095767,-0.13231918,-0.9267384,4.577738,-0.7287404,0.48370934,3.191303,-0.046705626,-0.5993177,5.7852592,-0.8404155,-0.40951353,5.7372937,-0.3237486,0.35124764,3.2036316,-0.042573746,-0.36115906,2.4673786,-0.27086672,-0.64250886,0.52027434,-0.44575527,-0.19615434
3.199437,-0.03938341,-0.3770989,3.257157,-0.3307579,-0.37679115,3.403922,-0.34349123,-0.41357067,3.3435514,-0.33790573,-0.39930585,2.415418,-0.19872984,-0.12810946,2.0922306,-1.1128997,-1.2580456,3.4969091,-0.32982248,-0.40373015,4.8553133,-0.1045098,-0.77404267,4.6884656,-0.7051705,0.7033903,3.1770964,-0.04031439,-0.4813249,5.870902,-0.74301904,-0.022406146,5.8942986,-0.30855018,0.031857822,3.2217774,-0.038452424,-0.27287292,2.223704,-0.27142963,-0.60559386,0.4275597,-0.36035722,-0.08425772
3.2035787,-0.039564554,-0.22522739,3.3114417,-0.26597312,-0.23037641,3.4686017,-0.29827842,-0.26917088,3.367655,-0.2897425,-0.2586593,2.4217117,-0.11658619,0.06121405,2.0528588,-1.0074499,-0.8834524,3.6045296,-0.28068623,-0.2541963,4.9631863,-0.09235868,-0.5346284,4.6565146,-0.66705865,0.937277,3.1798902,-0.03941963,-0.30750814,5.838442,-0.5608937,0.3904714,5.9356985,-0.27682856,-0.2889393,3.2272673,-0.039709475,-0.14294663,1.9178914,-0.24890533,-0.5140257,0.36516222,-0.27466527,0.036639236
3.2359855,-0.045510214,-0.03768548,3.360707,-0.20250528,-0.045366146,3.489021,-0.26525235,-0.075930424,3.3218045,-0.25209412,-0.073295705,2.4069018,-0.052633114,0.28004852,2.020398,-0.88456166,-0.48060355,3.6846738,-0.24254902,-0.058512773,4.958137,-0.10601806,-0.24175476,4.5251756,-0.6337863,1.1606239,3.2348144,-0.04387627,-0.09729402,5.6989946,-0.33939174,0.76517814,5.9087996,-0.23974754,-0.5902341,3.2371566,-0.047144156,0.021923052,1.6117953,-0.20436896,-0.34996942,0.337618,-0.19820052,0.18367442
3.298464,-0.057776336,0.16431367,3.4161355,-0.15550104,0.15606904,3.498566,-0.25159305,0.1383209,3.256656,-0.23194632,0.13166413,2.4128215,-0.008214033,0.4985657,2.0302048,-0.7635974,-0.09702337,3.7587528,-0.2246872,0.15683891,4.883555,-0.14408644,0.06035527,4.3504744,-0.61568046,1.3459867,3.3342063,-0.054398544,0.12337059,5.4730005,-0.1189544,1.0566933,5.86747,-0.2058575,-0.8642105,3.2627213,-0.061154123,0.20525678,1.3596168,-0.14688538,-0.1138222,0.36138707,-0.12916839,0.3640184
