pelvis_x,pelvis_y,pelvis_z,torso_x,torso_y,torso_z,head_x,head_y,head_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_x,left_hand_y,left_hand_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-1.6707312,0.072620854,0.82630134,-1.6533917,0.104389906,1.0596623,-1.5935473,0.11917832,1.2749028,-1.5925943,-0.06363998,1.3075929,-1.6022111,-0.15747684,1.0495025,-1.3722773,-0.040572017,1.0722448,-1.630107,0.30036187,1.2930135,-1.8031422,0.32085052,1.080534,-1.5656624,0.32531503,0.9773981,-1.6669617,-0.011444308,0.83746564,-1.8258643,0.032307852,0.44947493,-2.20853,0.023086786,0.3029297,-1.6745007,0.15668601,0.815137,-1.4594281,0.1567606,0.4525839,-1.4156902,0.16077884,0.045074046
-1.6707312,0.072620854,0.82630134,-1.6533917,0.104389906,1.0596623,-1.5935473,0.11917832,1.2749028,-1.5925943,-0.06363998,1.3075929,-1.6022111,-0.15747684,1.0495025,-1.3722773,-0.040572017,1.0722448,-1.630107,0.30036187,1.2930135,-1.8031422,0.32085052,1.080534,-1.5656624,0.32531503,0.9773981,-1.6669617,-0.011444308,0.83746564,-1.8258643,0.032307852,0.44947493,-2.20853,0.023086786,0.3029297,-1.6745007,0.15668601,0.815137,-1.4594281,0.1567606,0.4525839,-1.4156902,0.16077884,0.045074046
-1.5564263,0.06908186,0.81049126,-1.5446154,0.08740686,1.0456338,-1.4910829,0.10160953,1.2625694,-1.4915895,-0.08127402,1.2949027,-1.5224603,-0.18010062,1.0403663,-1.2854025,-0.08092454,1.0084088,-1.5276648,0.2828586,1.2799653,-1.6791546,0.307846,1.052073,-1.4319453,0.3014306,0.97526187,-1.5524114,-0.015469223,0.8168788,-1.6441011,0.019183189,0.406887,-2.0503387,0.013595633,0.35272843,-1.5604411,0.15363294,0.80410373,-1.3681228,0.14878942,0.42901546,-1.363409,0.13589197,0.019375563
-1.5564263,0.06908186,0.81049126,-1.5446154,0.08740686,1.0456338,-1.4910829,0.10160953,1.2625694,-1.4915895,-0.08127402,1.2949027,-1.5224603,-0.18010062,1.0403663,-1.2854025,-0.08092454,1.0084088,-1.5276648,0.2828586,1.2799653,-1.6791546,0.307846,1.052073,-1.4319453,0.3014306,0.97526187,-1.5524114,-0.015469223,0.8168788,-1.6441011,0.019183189,0.406887,-2.0503387,0.013595633,0.35272843,-1.5604411,0.15363294,0.80410373,-1.3681228,0.14878942,0.42901546,-1.363409,0.13589197,0.019375563
-1.4476362,0.06678454,0.78694284,-1.4431005,0.07487247,1.0229117,-1.3986673,0.08809698,1.2419535,-1.4025211,-0.09482863,1.2738196,-1.4567616,-0.19336303,1.0231057,-1.2232604,-0.122769095,0.93623066,-1.4339933,0.26970187,1.2581955,-1.5527542,0.30427343,1.01282,-1.2975899,0.27683952,0.97829247,-1.4423585,-0.017891929,0.7897437,-1.4552312,-0.013235019,0.36842006,-1.8644459,0.0035665845,0.38437104,-1.452914,0.151461,0.78414196,-1.2654879,0.141792,0.40667796,-1.3468605,0.115517505,0.0058269203
-1.4476362,0.06678454,0.78694284,-1.4431005,0.07487247,1.0229117,-1.3986673,0.08809698,1.2419535,-1.4025211,-0.09482863,1.2738196,-1.4567616,-0.19336303,1.0231057,-1.2232604,-0.122769095,0.93623066,-1.4339933,0.26970187,1.2581955,-1.5527542,0.30427343,1.01282,-1.2975899,0.27683952,0.97829247,-1.4423585,-0.017891929,0.7897437,-1.4552312,-0.013235019,0.36842006,-1.8644459,0.0035665845,0.38437104,-1.452914,0.151461,0.78414196,-1.2654879,0.141792,0.40667796,-1.3468605,0.115517505,0.0058269203
-1.3392357,0.066496655,0.7697105,-1.3342977,0.057919413,1.005654,-1.2756643,0.07216188,1.2212644,-1.2791634,-0.11050126,1.2546413,-1.3656163,-0.2036673,1.0110136,-1.1445653,-0.167204,0.88116586,-1.3081613,0.2542091,1.2384354,-1.373922,0.29799005,0.9752488,-1.1206385,0.24824074,0.99588984,-1.3326241,-0.018071488,0.7664978,-1.2546725,-0.053713456,0.35375777,-1.6606295,-0.0110495575,0.39080113,-1.3458472,0.1510648,0.7729232,-1.1816318,0.13042405,0.38522702,-1.3327,0.10101762,0.0053492785
-1.3392357,0.066496655,0.7697105,-1.3342977,0.057919413,1.005654,-1.2756643,0.07216188,1.2212644,-1.2791634,-0.11050126,1.2546413,-1.3656163,-0.2036673,1.0110136,-1.1445653,-0.167204,0.88116586,-1.3081613,0.2542091,1.2384354,-1.373922,0.29799005,0.9752488,-1.1206385,0.24824074,0.99588984,-1.3326241,-0.018071488,0.7664978,-1.2546725,-0.053713456,0.35375777,-1.6606295,-0.0110495575,0.39080113,-1.3458472,0.1510648,0.7729232,-1.1816318,0.13042405,0.38522702,-1.3327,0.10101762,0.0053492785
-1.2385169,0.06466792,0.7611649,-1.2220352,0.05321513,0.9964615,-1.1587925,0.067379504,1.2107704,-1.1623747,-0.11523928,1.2443802,-1.286588,-0.20170029,1.0150245,-1.0802842,-0.19739135,0.8585836,-1.1901312,0.24958014,1.228459,-1.2050383,0.3005969,0.95886016,-0.96673286,0.2306305,1.032132,-1.2393289,-0.02011758,0.7570949,-1.0501025,-0.06448495,0.38302815,-1.4571407,-0.017467365,0.3728934,-1.237705,0.14945342,0.7652349,-1.1238818,0.12033724,0.36039215,-1.321296,0.0962025,0.0020087957
-1.2385169,0.06466792,0.7611649,-1.2220352,0.05321513,0.9964615,-1.1587925,0.067379504,1.2107704,-1.1623747,-0.11523928,1.2443802,-1.286588,-0.20170029,1.0150245,-1.0802842,-0.19739135,0.8585836,-1.1901312,0.24958014,1.228459,-1.2050383,0.3005969,0.95886016,-0.96673286,0.2306305,1.032132,-1.2393289,-0.02011758,0.7570949,-1.0501025,-0.06448495,0.38302815,-1.4571407,-0.017467365,0.3728934,-1.237705,0.14945342,0.7652349,-1.1238818,0.12033724,0.36039215,-1.321296,0.0962025,0.0020087957
