pelvis_w,pelvis_x,pelvis_y,pelvis_z,torso_w,torso_x,torso_y,torso_z,head_w,head_x,head_y,head_z,right_upper_arm_w,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_w,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_w,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_w,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_w,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_w,left_hand_x,left_hand_y,left_hand_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.99684703,-0.06672236,0.03814861,0.01971978,0.9891221,-0.026756432,0.13641492,0.04808931,0.9816889,-0.010270713,-0.18747167,0.032184295,0.9635251,-0.16600654,0.053147934,0.20306787,0.62533265,0.061225317,-0.73495877,0.2550415,0.62533265,0.061225317,-0.73495877,0.2550415,0.9415898,0.041635197,0.33412904,0.005753528,0.8356221,0.029765967,-0.54769456,-0.029674567,0.8356221,0.029765967,-0.54769456,-0.029674567,0.97849345,0.06317768,0.1892325,0.052443814,0.8206018,0.036859687,0.5655714,0.07336986,0.59118885,0.005243582,0.80598414,0.029289905,0.96431494,0.0031542652,-0.2645034,-0.011165204,0.9985069,0.0054565314,-0.053379685,-0.010239015,0.99987733,0.0006804366,-0.0013865194,-0.015586926
0.99684703,-0.06672236,0.03814861,0.01971978,0.9891221,-0.026756432,0.13641492,0.04808931,0.9816889,-0.010270713,-0.18747167,0.032184295,0.9635251,-0.16600654,0.053147934,0.20306787,0.62533265,0.061225317,-0.73495877,0.2550415,0.62533265,0.061225317,-0.73495877,0.2550415,0.9415898,0.041635197,0.33412904,0.005753528,0.8356221,0.029765967,-0.54769456,-0.029674567,0.8356221,0.029765967,-0.54769456,-0.029674567,0.97849345,0.06317768,0.1892325,0.052443814,0.8206018,0.036859687,0.5655714,0.07336986,0.59118885,0.005243582,0.80598414,0.029289905,0.96431494,0.0031542652,-0.2645034,-0.011165204,0.9985069,0.0054565314,-0.053379685,-0.010239015,0.99987733,0.0006804366,-0.0013865194,-0.015586926
0.9986742,-0.038262248,0.025909424,0.022686914,0.99111146,-0.026289403,0.121853195,0.04646296,0.98211557,-0.008735594,-0.18572082,0.029673317,0.9622466,-0.16840118,0.09214476,0.19295603,0.7051507,0.033493016,-0.66118944,0.25390783,0.7051507,0.033493016,-0.66118944,0.25390783,0.9562991,0.043708593,0.28882575,-0.012700311,0.8040516,0.016008195,-0.5928148,-0.042608406,0.8040516,0.016008195,-0.5928148,-0.042608406,0.9929668,0.043328594,0.108753085,0.017675623,0.7513468,0.025374353,0.6582463,0.039318405,0.4907724,-0.013818873,0.8703892,-0.037070807,0.97181463,-0.011155174,-0.23447718,0.021732643,0.9996867,-0.015840042,-0.0054575354,0.018596742,0.99841434,-0.020395217,0.035483137,-0.03865031
0.9986742,-0.038262248,0.025909424,0.022686914,0.99111146,-0.026289403,0.121853195,0.04646296,0.98211557,-0.008735594,-0.18572082,0.029673317,0.9622466,-0.16840118,0.09214476,0.19295603,0.7051507,0.033493016,-0.66118944,0.25390783,0.7051507,0.033493016,-0.66118944,0.25390783,0.9562991,0.043708593,0.28882575,-0.012700311,0.8040516,0.016008195,-0.5928148,-0.042608406,0.8040516,0.016008195,-0.5928148,-0.042608406,0.9929668,0.043328594,0.108753085,0.017675623,0.7513468,0.025374353,0.6582463,0.039318405,0.4907724,-0.013818873,0.8703892,-0.037070807,0.97181463,-0.011155174,-0.23447718,0.021732643,0.9996867,-0.015840042,-0.0054575354,0.018596742,0.99841434,-0.020395217,0.035483137,-0.03865031
0.99932843,-0.01682237,0.010130913,0.030937226,0.9937366,-0.025592566,0.10090009,0.04064119,0.98453254,-0.004131913,-0.17253964,0.030147012,0.9630548,-0.16308565,0.13118005,0.16947134,0.78257924,0.00094588834,-0.57641333,0.23519473,0.78257924,0.00094588834,-0.57641333,0.23519473,0.971684,0.053603068,0.22504498,-0.04808197,0.749363,-0.0078115715,-0.65823245,-0.07158312,0.749363,-0.0078115715,-0.65823245,-0.07158312,0.9996553,0.005208119,0.015381221,-0.020628069,0.6931263,0.018312171,0.7205021,-0.0108307935,0.43490377,-0.027671866,0.89353734,-0.10809249,0.9729169,-0.01971661,-0.22781017,0.03386205,0.9941536,-0.029647816,0.100614235,0.025620103,0.9970385,-0.044903286,0.049482558,-0.038072653
0.99932843,-0.01682237,0.010130913,0.030937226,0.9937366,-0.025592566,0.10090009,0.04064119,0.98453254,-0.004131913,-0.17253964,0.030147012,0.9630548,-0.16308565,0.13118005,0.16947134,0.78257924,0.00094588834,-0.57641333,0.23519473,0.78257924,0.00094588834,-0.57641333,0.23519473,0.971684,0.053603068,0.22504498,-0.04808197,0.749363,-0.0078115715,-0.65823245,-0.07158312,0.749363,-0.0078115715,-0.65823245,-0.07158312,0.9996553,0.005208119,0.015381221,-0.020628069,0.6931263,0.018312171,0.7205021,-0.0108307935,0.43490377,-0.027671866,0.89353734,-0.10809249,0.9729169,-0.01971661,-0.22781017,0.03386205,0.9941536,-0.029647816,0.100614235,0.025620103,0.9970385,-0.044903286,0.049482558,-0.038072653
0.99901307,0.018560186,0.0097378045,0.03916295,0.99004126,-0.027237264,0.13325635,0.036322895,0.9849453,-0.004281008,-0.17055516,0.027846234,0.96310544,-0.15216789,0.18314984,0.12541519,0.8442928,-0.031492077,-0.49828273,0.19465941,0.8442928,-0.031492077,-0.49828273,0.19465941,0.98586917,0.0700389,0.12729585,-0.08338015,0.67013043,-0.028073287,-0.7342122,-0.105212115,0.67013043,-0.028073287,-0.7342122,-0.105212115,0.99371004,-0.038175613,-0.09480299,-0.045777127,0.67189765,0.013729747,0.7382416,-0.058003586,0.42805263,-0.007331185,0.8945933,-0.12814131,0.9794966,-0.029224362,-0.19823116,0.020899676,0.9815011,-0.034967367,0.18805535,0.0082548885,0.9965415,-0.046968047,0.0677897,-0.010186793
0.99901307,0.018560186,0.0097378045,0.03916295,0.99004126,-0.027237264,0.13325635,0.036322895,0.9849453,-0.004281008,-0.17055516,0.027846234,0.96310544,-0.15216789,0.18314984,0.12541519,0.8442928,-0.031492077,-0.49828273,0.19465941,0.8442928,-0.031492077,-0.49828273,0.19465941,0.98586917,0.0700389,0.12729585,-0.08338015,0.67013043,-0.028073287,-0.7342122,-0.105212115,0.67013043,-0.028073287,-0.7342122,-0.105212115,0.99371004,-0.038175613,-0.09480299,-0.045777127,0.67189765,0.013729747,0.7382416,-0.058003586,0.42805263,-0.007331185,0.8945933,-0.12814131,0.9794966,-0.029224362,-0.19823116,0.020899676,0.9815011,-0.034967367,0.18805535,0.0082548885,0.9965415,-0.046968047,0.0677897,-0.010186793
0.99908733,0.024132878,0.03502369,-0.0039406717,0.98864084,-0.026991125,0.1437955,0.034405466,0.9839473,-0.011722445,-0.17593859,0.027497455,0.9552238,-0.1466105,0.24733235,0.0698545,0.8831171,-0.064798,-0.44014767,0.14891443,0.8831171,-0.064798,-0.44014767,0.14891443,0.9888704,0.089586,0.03763688,-0.11266422,0.58283466,-0.043536596,-0.79974055,-0.13719857,0.58283466,-0.043536596,-0.79974055,-0.13719857,0.97016716,-0.042304765,-0.23350783,-0.04959958,0.71308917,0.01955989,0.69803584,-0.062186994,0.5381739,0.00673035,0.83502966,-0.11423258,0.9900423,-0.03516733,-0.1362911,0.0020702211,0.96801955,-0.033336744,0.2483893,-0.011388074,0.99523664,-0.039490215,0.089120924,0.0014349961
0.99908733,0.024132878,0.03502369,-0.0039406717,0.98864084,-0.026991125,0.1437955,0.034405466,0.9839473,-0.011722445,-0.17593859,0.027497455,0.9552238,-0.1466105,0.24733235,0.0698545,0.8831171,-0.064798,-0.44014767,0.14891443,0.8831171,-0.064798,-0.44014767,0.14891443,0.9888704,0.089586,0.03763688,-0.11266422,0.58283466,-0.043536596,-0.79974055,-0.13719857,0.58283466,-0.043536596,-0.79974055,-0.13719857,0.97016716,-0.042304765,-0.23350783,-0.04959958,0.71308917,0.01955989,0.69803584,-0.062186994,0.5381739,0.00673035,0.83502966,-0.11423258,0.9900423,-0.03516733,-0.1362911,0.0020702211,0.96801955,-0.033336744,0.2483893,-0.011388074,0.99523664,-0.039490215,0.089120924,0.0014349961
