abdomen_x_vel,abdomen_y_vel,abdomen_z_vel,neck_x_vel,neck_y_vel,neck_z_vel,right_shoulder_x_vel,right_shoulder_y_vel,right_shoulder_z_vel,right_elbow_vel,left_shoulder_x_vel,left_shoulder_y_vel,left_shoulder_z_vel,left_elbow_vel,right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,right_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,left_knee_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.124485,-0.02390761,-1.3380386,0.19478005,1.9743474,-0.11959109,1.1998916,6.3044767,0.38833228,8.665735,0.7110797,-4.0383887,-1.8711374,-0.8934428,-5.253236,-8.407715,-5.4857397,23.75272,2.475708,0.41385624,-3.257518,-3.8245232,5.119736,5.662087,2.0391269,0.50078017,-1.1564472,-6.1339097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.139465,-0.44281837,-2.1976702,0.87245494,4.12231,0.61609507,2.2972896,6.95529,-0.38650283,9.417886,1.8635299,-5.461138,-3.1401896,-2.3648663,-6.784863,-9.616568,-5.9997797,21.482185,1.9387554,-3.3358545,-2.7980664,-3.3288188,2.774343,1.9951991,11.949215,-0.03613292,-10.908796,-1.2693281
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.909285,4.2148695,-2.3221445,0.30178553,-3.6648557,0.13862555,2.2809837,2.840871,-4.640387,5.895924,3.9477348,-15.6355,-1.7222853,-1.3284392,-9.204464,-13.713838,-3.6621273,16.578016,-1.8236772,-2.6901033,3.0174758,-5.5903525,3.839892,-0.29598683,6.974119,0.9533394,-8.598674,4.8738594
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9873867,-2.0489888,4.3963056,-0.84031016,-1.9078125,0.33045816,2.463213,7.2665586,-5.1888146,0.64320123,3.8703272,-11.901291,-1.9026629,-2.3575945,1.5891321,-20.369534,3.5312414,10.008016,-1.2395041,-8.096395,2.3094785,0.1538876,4.1287518,2.9171104,-0.11718751,0.8382328,-5.0269613,3.5483553
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1265996,1.333558,-9.717977,0.9284844,0.712286,4.153015,-0.93266463,4.838343,0.1320932,-0.21126287,1.5190064,-6.7176275,2.8289828,-3.4897728,-3.0625067,-8.408749,-3.9972446,-2.303815,-0.37687093,-3.5963945,1.5258722,-1.9154116,12.109343,-4.0164433,-6.482864,0.123737045,0.9087372,0.006556271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0704994,-1.613928,-5.7499237,0.74662125,1.4354811,2.8700364,-0.72759074,4.5609097,-0.67066234,-1.0796351,0.63521296,-2.8818843,1.5117946,-4.780607,2.1655674,-8.245958,-0.78669095,-9.604609,0.068353504,-7.0725536,-1.0178822,0.9296256,10.14179,-1.14503,-9.210451,-0.2827746,9.090066,-2.220131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4106723,-1.4883606,-2.3096313,-0.22862007,-0.1770934,0.97016156,0.14641106,3.9610589,-1.4928592,-0.6945313,1.0695152,-1.705791,0.447886,-3.740062,3.6647785,-4.175816,2.2053633,-14.851182,0.6097989,-0.5521062,-2.3138218,1.32529,9.890212,0.50138986,-10.801361,-0.28707883,17.140862,-1.9188945
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2304088,-2.2224288,0.94663554,0.17161086,2.7228944,1.3659726,-0.19885501,4.4895616,-1.7897618,-1.0740554,0.51653415,0.5522463,-0.7479937,-2.6639798,4.136238,-0.231981,3.9731314,-19.386728,-0.39029747,-1.5676917,2.2628403,0.4032516,14.070818,1.2273313,-20.033253,-3.0636432,25.748842,8.660099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.364281,-0.82497525,0.32686362,0.29478595,0.9249872,1.2311908,-0.19213806,0.88713557,-0.7044073,-0.50233823,0.69198567,1.3134714,-1.102594,-1.3400196,1.9131923,3.4139242,4.5734015,-22.224703,-0.479901,-1.7397343,3.0677438,-0.79688084,5.0496163,0.07481942,-0.0,-2.6806703,-1.4542629,4.4178176
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
