pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
1.3552288,-0.037981138,-0.21150546,1.3612186,-0.042623766,-0.2659366,2.2086885,-0.21968329,-0.48976314,1.9915076,-0.11709108,0.53269106,1.349239,-0.03333845,-0.15707432,1.124609,-0.094187416,-0.27894032,0.5162509,-0.2826927,-0.26649418
2.0184388,-0.053124946,-0.32846996,2.0290954,-0.059198096,-0.40879047,3.3318753,-0.3727853,-0.7074309,3.053167,-0.17901193,0.7427298,2.0077825,-0.047051717,-0.24814944,1.6951241,-0.14179291,-0.41496974,0.69728506,-0.40984276,-0.3657472
2.590355,-0.06174147,-0.43800658,2.6057115,-0.06810114,-0.5406341,4.352712,-0.551704,-0.85257393,4.0693855,-0.23873998,0.8542471,2.5749984,-0.055381726,-0.3353791,2.1934364,-0.1867966,-0.5317844,0.77921456,-0.50348836,-0.41240978
2.965442,-0.06103374,-0.510347,2.9819255,-0.0663785,-0.62785304,5.0987697,-0.7192884,-0.85945106,4.8729725,-0.28645104,0.81403434,2.9489584,-0.055688925,-0.39284098,2.5015028,-0.22419426,-0.60781837,0.7437697,-0.53766644,-0.3865652
3.144747,-0.053453658,-0.52613026,3.1543007,-0.057092674,-0.64954203,5.5514326,-0.8286496,-0.70513046,5.4161205,-0.3161432,0.6300643,3.1351936,-0.049814593,-0.40271848,2.5815985,-0.25301254,-0.64227915,0.6368895,-0.5123797,-0.30367923
3.1974676,-0.044639695,-0.48023838,3.191303,-0.046705626,-0.5993177,5.7852592,-0.8404155,-0.40951353,5.7372937,-0.3237486,0.35124764,3.2036316,-0.042573746,-0.36115906,2.4673786,-0.27086672,-0.64250886,0.52027434,-0.44575527,-0.19615434
3.199437,-0.03938341,-0.3770989,3.1770964,-0.04031439,-0.4813249,5.870902,-0.74301904,-0.022406146,5.8942986,-0.30855018,0.031857822,3.2217774,-0.038452424,-0.27287292,2.223704,-0.27142963,-0.60559386,0.4275597,-0.36035722,-0.08425772
3.2035787,-0.039564554,-0.22522739,3.1798902,-0.03941963,-0.30750814,5.838442,-0.5608937,0.3904714,5.9356985,-0.27682856,-0.2889393,3.2272673,-0.039709475,-0.14294663,1.9178914,-0.24890533,-0.5140257,0.36516222,-0.27466527,0.036639236
3.2359855,-0.045510214,-0.03768548,3.2348144,-0.04387627,-0.09729402,5.6989946,-0.33939174,0.76517814,5.9087996,-0.23974754,-0.5902341,3.2371566,-0.047144156,0.021923052,1.6117953,-0.20436896,-0.34996942,0.337618,-0.19820052,0.18367442
3.298464,-0.057776336,0.16431367,3.3342063,-0.054398544,0.12337059,5.4730005,-0.1189544,1.0566933,5.86747,-0.2058575,-0.8642105,3.2627213,-0.061154123,0.20525678,1.3596168,-0.14688538,-0.1138222,0.36138707,-0.12916839,0.3640184
3.3772185,-0.07580572,0.35311225,3.4415057,-0.07124993,0.32628548,5.193544,0.07636515,1.2430121,5.860765,-0.17755286,-1.1077566,3.3129313,-0.08036151,0.37993896,1.1980239,-0.087987356,0.17148596,0.455823,-0.05846669,0.5647581
3.4573069,-0.095224306,0.50345,3.524451,-0.09086708,0.48792553,4.891471,0.23154746,1.3168182,5.9140034,-0.15467158,-1.314718,3.3901625,-0.099581495,0.51897436,1.1339046,-0.034819804,0.47327414,0.6258237,0.020937359,0.7616666
3.5313263,-0.10873481,0.60150945,3.5751462,-0.106121905,0.59566486,4.5847945,0.3330888,1.2797803,6.0225887,-0.13855577,-1.4739509,3.4875062,-0.111347675,0.6073541,1.1463405,0.011605832,0.76426136,0.8547012,0.10719806,0.93504864
3.5974796,-0.11075139,0.6473477,3.603437,-0.11086262,0.6493918,4.281854,0.37270162,1.1443089,6.161949,-0.13162617,-1.5730106,3.5915225,-0.110640116,0.64530367,1.210906,0.05236464,1.024514,1.111154,0.1897307,1.0797492
3.6539407,-0.100733675,0.65055954,3.6211812,-0.103559345,0.6575898,3.9881697,0.35470808,0.93373793,6.298577,-0.13455416,-1.602854,3.6867006,-0.097907975,0.64352936,1.3288713,0.085913345,1.231313,1.3608012,0.25376478,1.2050414
3.6971326,-0.08260051,0.6231654,3.635223,-0.08714368,0.63061434,3.708841,0.29627937,0.6759797,6.393221,-0.14444582,-1.5608267,3.7590425,-0.078057304,0.61571646,1.5297556,0.10673754,1.3539648,1.5761024,0.28534016,1.3253235
