pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-1.6707312,0.072620854,0.82630134,-1.6669617,-0.011444308,0.83746564,-1.8258643,0.032307852,0.44947493,-2.20853,0.023086786,0.3029297,-1.6745007,0.15668601,0.815137,-1.4594281,0.1567606,0.4525839,-1.4156902,0.16077884,0.045074046
-1.6707312,0.072620854,0.82630134,-1.6669617,-0.011444308,0.83746564,-1.8258643,0.032307852,0.44947493,-2.20853,0.023086786,0.3029297,-1.6745007,0.15668601,0.815137,-1.4594281,0.1567606,0.4525839,-1.4156902,0.16077884,0.045074046
-1.5564263,0.06908186,0.81049126,-1.5524114,-0.015469223,0.8168788,-1.6441011,0.019183189,0.406887,-2.0503387,0.013595633,0.35272843,-1.5604411,0.15363294,0.80410373,-1.3681228,0.14878942,0.42901546,-1.363409,0.13589197,0.019375563
-1.5564263,0.06908186,0.81049126,-1.5524114,-0.015469223,0.8168788,-1.6441011,0.019183189,0.406887,-2.0503387,0.013595633,0.35272843,-1.5604411,0.15363294,0.80410373,-1.3681228,0.14878942,0.42901546,-1.363409,0.13589197,0.019375563
-1.4476362,0.06678454,0.78694284,-1.4423585,-0.017891929,0.7897437,-1.4552312,-0.013235019,0.36842006,-1.8644459,0.003566585,0.38437104,-1.452914,0.151461,0.78414196,-1.2654879,0.141792,0.40667796,-1.3468605,0.115517505,0.00582692
-1.4476362,0.06678454,0.78694284,-1.4423585,-0.017891929,0.7897437,-1.4552312,-0.013235019,0.36842006,-1.8644459,0.003566585,0.38437104,-1.452914,0.151461,0.78414196,-1.2654879,0.141792,0.40667796,-1.3468605,0.115517505,0.00582692
-1.3392357,0.066496655,0.7697105,-1.3326241,-0.018071488,0.7664978,-1.2546725,-0.053713456,0.35375777,-1.6606295,-0.011049558,0.39080113,-1.3458472,0.1510648,0.7729232,-1.1816318,0.13042405,0.38522702,-1.3327,0.10101762,0.005349279
-1.3392357,0.066496655,0.7697105,-1.3326241,-0.018071488,0.7664978,-1.2546725,-0.053713456,0.35375777,-1.6606295,-0.011049558,0.39080113,-1.3458472,0.1510648,0.7729232,-1.1816318,0.13042405,0.38522702,-1.3327,0.10101762,0.005349279
-1.2385169,0.06466792,0.7611649,-1.2393289,-0.02011758,0.7570949,-1.0501025,-0.06448495,0.38302815,-1.4571407,-0.017467365,0.3728934,-1.237705,0.14945342,0.7652349,-1.1238818,0.12033724,0.36039215,-1.321296,0.0962025,0.002008796
-1.2385169,0.06466792,0.7611649,-1.2393289,-0.02011758,0.7570949,-1.0501025,-0.06448495,0.38302815,-1.4571407,-0.017467365,0.3728934,-1.237705,0.14945342,0.7652349,-1.1238818,0.12033724,0.36039215,-1.321296,0.0962025,0.002008796
-1.1252506,0.064137325,0.7732043,-1.1185658,-0.02031283,0.76779276,-0.8732315,-0.065115765,0.42793274,-1.2712924,-0.024476241,0.33911073,-1.1319354,0.14858748,0.7786159,-1.0938375,0.11822463,0.3598944,-1.3175545,0.09091887,0.01755163
-1.1252506,0.064137325,0.7732043,-1.1185658,-0.02031283,0.76779276,-0.8732315,-0.065115765,0.42793274,-1.2712924,-0.024476241,0.33911073,-1.1319354,0.14858748,0.7786159,-1.0938375,0.11822463,0.3598944,-1.3175545,0.09091887,0.01755163
-1.0089139,0.058910616,0.7970575,-0.99962837,-0.025285035,0.79151887,-0.7144753,-0.049416497,0.48199275,-1.0748417,-0.028403472,0.28785896,-1.0181994,0.14310627,0.80259615,-1.0598894,0.11771895,0.38388568,-1.2957916,0.092524126,0.049656957
-1.0089139,0.058910616,0.7970575,-0.99962837,-0.025285035,0.79151887,-0.7144753,-0.049416497,0.48199275,-1.0748417,-0.028403472,0.28785896,-1.0181994,0.14310627,0.80259615,-1.0598894,0.11771895,0.38388568,-1.2957916,0.092524126,0.049656957
-0.88722634,0.05464344,0.8209616,-0.8786854,-0.029646207,0.8156596,-0.5780499,-0.03233838,0.5201734,-0.8668295,-0.031885717,0.22931331,-0.8957673,0.13893309,0.8262636,-1.0146496,0.12039662,0.42225316,-1.2528553,0.10205452,0.08921409
-0.88722634,0.05464344,0.8209616,-0.8786854,-0.029646207,0.8156596,-0.5780499,-0.03233838,0.5201734,-0.8668295,-0.031885717,0.22931331,-0.8957673,0.13893309,0.8262636,-1.0146496,0.12039662,0.42225316,-1.2528553,0.10205452,0.08921409
-0.76181334,0.052159924,0.8418966,-0.75755507,-0.03250541,0.8374861,-0.46015918,-0.024479311,0.5388353,-0.6451968,-0.03689629,0.17332152,-0.7660716,0.13682526,0.8463071,-0.98132145,0.12602952,0.48401985,-1.1907812,0.11553852,0.1318694
-0.76181334,0.052159924,0.8418966,-0.75755507,-0.03250541,0.8374861,-0.46015918,-0.024479311,0.5388353,-0.6451968,-0.03689629,0.17332152,-0.7660716,0.13682526,0.8463071,-0.98132145,0.12602952,0.48401985,-1.1907812,0.11553852,0.1318694
-0.636485,0.0520724,0.8585588,-0.6351785,-0.032681018,0.85398114,-0.35850045,-0.02212815,0.5361148,-0.4249007,-0.043860026,0.13224337,-0.63779145,0.13682581,0.8631364,-0.886171,0.13052823,0.5225942,-1.1276709,0.12440507,0.19148433
