right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,right_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,left_knee_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5.253236,-8.407715,-5.4857397,23.75272,2.475708,0.41385624,-3.257518,-3.8245232,5.119736,5.662087,2.0391269,0.50078017,-1.1564472,-6.1339097
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.784863,-9.616568,-5.9997797,21.482185,1.9387554,-3.3358545,-2.7980664,-3.3288188,2.774343,1.9951991,11.949215,-0.03613292,-10.908796,-1.2693281
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-9.204464,-13.713838,-3.6621273,16.578016,-1.8236772,-2.6901033,3.0174758,-5.5903525,3.839892,-0.29598683,6.974119,0.9533394,-8.598674,4.8738594
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5891321,-20.369534,3.5312414,10.008016,-1.2395041,-8.096395,2.3094785,0.1538876,4.1287518,2.9171104,-0.11718751,0.8382328,-5.0269613,3.5483553
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.0625067,-8.408749,-3.9972446,-2.303815,-0.37687093,-3.5963945,1.5258722,-1.9154116,12.109343,-4.0164433,-6.482864,0.123737045,0.9087372,0.006556271
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1655674,-8.245958,-0.78669095,-9.604609,0.068353504,-7.0725536,-1.0178822,0.9296256,10.14179,-1.14503,-9.210451,-0.2827746,9.090066,-2.220131
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6647785,-4.175816,2.2053633,-14.851182,0.6097989,-0.5521062,-2.3138218,1.32529,9.890212,0.50138986,-10.801361,-0.28707883,17.140862,-1.9188945
0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.136238,-0.231981,3.9731314,-19.386728,-0.39029747,-1.5676917,2.2628403,0.4032516,14.070818,1.2273313,-20.033253,-3.0636432,25.748842,8.660099
0,0,0,0,0,0,0,0,0,0,0,0,0,0
