pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
-0.12990713,-0.7904569,0.4018889,-0.24511768,-1.5038501,-0.21502782,-0.409656,0.49927044,0.6541075,-0.5964368,1.8985846,0.32534388,-0.6009321,-1.3429568,0.53867626,-0.8969961,2.473445,0.094150595,-0.6282643,-1.9574486,1.3992579
-0.50419194,-2.2506783,-0.7646931,-0.7078927,-5.457282,-2.2383478,-0.6361268,4.16496,1.6963432,-1.3990747,4.3893924,-0.93427014,-1.3077772,-4.806062,1.2600937,-2.63039,11.068089,-0.87714434,-2.4917645,-4.021009,2.3395026
-0.3902716,-2.0944967,-1.2918077,-0.038267765,-5.666821,-1.379815,-0.35904464,4.5283623,1.0175655,-0.61770326,4.4373546,-0.13272032,-0.94171697,-5.2902007,0.66408914,-0.36453533,8.410552,-0.4000273,-2.0642152,-4.3377595,2.3208237
-0.4278819,-1.835769,-0.7292855,-0.422575,-5.2958274,-1.8563445,-0.5833745,4.403886,1.3375134,-0.725223,4.330092,-0.81736726,-1.0384777,-5.544145,1.0927424,-0.10891413,5.622083,-1.0922982,-2.1586912,-4.4875937,2.920638
-0.16220057,-1.4116924,0.7578134,-0.3885209,-5.265073,-1.684807,-1.4625099,1.6863124,2.460025,-0.4371171,4.3531995,-0.7640295,-1.4994256,-1.9537688,2.450653,-0.66709745,6.8782473,-1.5223305,-1.4633707,-1.9646997,3.6332521
2.2972102,-1.7092296,-0.14431849,-1.0622811,-6.846867,-2.4172404,-0.58726716,0.91612005,-1.0398551,-0.841183,5.234017,-1.4406395,-0.5892999,0.80618644,-1.0384482,-2.73846,9.644305,-1.8558289,1.4890962,-0.57588476,-3.7688878
3.112007,-1.1100576,0.36178252,1.1068504,-8.436452,-0.20212646,0.5615771,1.0359273,-4.292463,1.2422763,4.83763,1.0475025,0.5508381,0.9147797,-4.291913,0.56226134,4.9558115,2.574678,2.3583832,4.3755565,-7.301573
3.1417346,-0.41373223,-0.8551528,-1.1462524,-8.80525,-4.5125957,0.592164,0.9314359,-4.254229,-0.39194447,4.2140718,-3.3998842,0.5843142,0.88030416,-4.2541685,-2.5950851,4.487205,-2.3102932,4.2661324,5.165605,-7.8351607
3.322865,-0.064682975,-0.29247564,-0.2807603,-9.089634,-4.195441,1.2098231,0.61785245,-6.0678554,1.0604463,2.7277336,-3.1311896,1.1996648,0.57833296,-6.0685244,-0.059565857,2.8563776,-1.9712316,5.024157,7.6468096,-10.510364
2.3836162,-1.298958,-1.7419459,-2.4867947,-7.918561,-6.9577107,1.0095325,0.41488105,-4.3635683,-0.35178095,1.876263,-6.109642,1.1634878,0.86745894,-4.351117,-3.4555316,2.495226,-4.933821,6.5804005,5.996806,-8.779114
5.9033513,-0.07989699,3.73097,2.6033425,-7.699322,-2.5042906,2.3057833,2.7613819,-0.1794387,3.2510943,-5.305094,-2.1746607,3.3365383,5.476786,-0.027490824,1.1943684,-5.092116,-1.3398442,-15.419882,-8.500629,-9.069768
1.4568619,-1.1036172,0.5201644,-0.48699045,-4.6771545,1.0448737,1.2760715,4.065294,3.2383993,-0.91473114,-6.2607656,0.75209665,0.23537654,1.056274,3.0867193,-3.8605726,-5.488468,2.0953379,2.4987774,3.9246185,4.213947
-0.8770182,1.4548588,2.8726375,-0.7156833,-3.1037679,1.8530245,-0.13462237,2.1863081,4.454913,-1.4966947,-6.533414,1.2169628,-0.08355875,2.3809116,4.462715,-0.45036986,-6.987757,0.1063624,0.5855535,2.0915244,7.32777
-0.432582,-0.68110156,1.7319758,-1.3345399,-2.770993,1.6741251,-0.24461249,2.700702,4.7714624,-1.996168,-6.2716546,1.0621481,-0.2387645,2.7327127,4.7723346,-0.6799244,-6.5877743,0.91191083,0.02676649,0.113050885,11.152545
-0.054564964,-0.5004696,1.272194,0.20857134,-3.350775,0.61661327,-0.0028979452,2.8554816,2.790969,-0.3297128,-6.6281085,0.031800427,-0.013192092,2.7737908,2.7893162,2.601531,-7.4147415,-0.59641093,-0.70073926,-0.5904097,7.8275967
-0.8170645,0.06423525,3.5533729,-1.3788866,-2.5957208,2.2924366,0.18160392,0.3312858,6.3593364,-1.3613769,-2.4450548,2.3167691,0.23775172,3.75332,6.427161,1.2153598,-2.9927416,2.1144087,0.30936387,-2.010174,10.759698
0.95970243,-0.12516335,0.8923243,-0.50043046,-3.0726228,-0.76506233,0.49128106,3.488294,0.5313786,-0.32618335,-1.5576527,-0.5153321,0.49143836,3.832705,0.5408796,1.0507427,-2.5167475,-0.68751335,-1.773116,-3.3144095,0.0727305
0.14111798,-0.38396287,-1.0791612,-1.1646113,-2.5222278,0.51438963,0.37250632,3.9242232,2.260088,-1.1101203,-2.0011904,0.5940026,0.39028883,3.1089735,2.2386506,-1.358338,-3.0837982,0.9638825,3.1740832,0.9199923,6.926526
-0.6457379,1.0162408,-0.37929842,-0.95451754,-2.6158729,-0.25729346,0.38321733,5.046619,1.6396992,-0.93118525,-2.3859031,-0.22485438,0.5301416,1.6045629,1.5185982,0.39300388,-3.9643888,0.38376495,0.8000881,0.98792875,3.933253
