pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
3.698297,-0.058013465,-0.052354924,4.0918536,-0.097293995,-0.21332856,3.685456,-0.06797156,-0.1338327,4.1638203,-0.23799166,-0.0588797,3.8634665,-0.16965133,-0.18697906,3.8385775,-0.40514103,0.33290532,4.207483,-0.2541447,-0.09825831
3.40241,-0.1388719,0.08810029,4.612524,-0.10763872,-0.39915824,3.0041218,-0.10855895,-0.4515771,5.260647,-0.009501273,-0.14945309,3.2130058,-0.25250116,-0.8331439,4.3723764,-0.05901914,0.9957891,4.3335533,-0.47136918,-0.5474438
3.4003701,-0.14443128,-0.18452801,4.6097097,-0.07516929,-0.5797523,2.9168992,-0.14806424,-0.68550193,5.380847,-0.010243948,-0.19055802,3.1126926,-0.2663381,-0.94124436,4.693691,-0.0380887,0.9584276,4.320136,-0.3860894,-0.5237073
3.4101446,-0.1134967,-0.4910875,4.6196113,-0.13232875,-0.76094437,2.8490808,-0.15960136,-0.9101349,5.4273787,-0.016158119,-0.24999191,3.0612383,-0.28646457,-0.9799677,4.930881,0.1296433,0.81969106,4.2840014,-0.34625682,-0.43226326
3.2802892,-0.0676374,-0.8234431,4.612134,-0.10840437,-1.0159193,3.0809221,-0.18339826,-0.96118546,5.4887004,-0.0067541506,-0.38436416,3.1135821,-0.37854078,-0.94704074,5.0484123,0.16757004,0.78077024,3.5396547,-0.34059098,-0.7014604
3.095551,-0.12089628,-1.0486284,4.725967,-0.07701488,-1.395267,3.1325796,-0.03172005,-0.95066506,5.99885,-0.021817075,-0.48851603,2.793195,-0.41080353,-1.0732673,5.5959687,0.2698628,1.0216745,2.6280408,-0.7514488,-1.1100888
2.9966464,-0.31144544,-1.3213223,4.911655,0.24365553,-1.4749199,2.867072,-0.14034231,-1.1641225,6.5557714,0.2984784,-0.3651214,2.4283817,-0.5383803,-1.3116168,6.348774,-0.0020349286,0.88709944,2.056716,-1.012352,-1.5960873
2.972115,-0.16622452,-1.6133299,4.810536,-0.25246924,-1.5036063,2.8594103,0.013478544,-1.4248545,6.6811495,-0.02406649,-0.28049746,2.4168453,-0.33947352,-1.5612783,6.626085,0.7688078,0.8149007,1.9612529,-0.7238706,-1.8913184
3.0020444,-0.21845476,-1.9102186,4.798383,-0.20785788,-1.4848025,2.8282518,-0.019191654,-1.6737297,6.6879606,0.037916128,-0.2191198,2.4303348,-0.3478454,-1.7851622,6.737198,0.7913313,0.51675296,1.8035985,-0.7080788,-2.1844609
3.049014,0.09080108,-2.1184583,4.476663,-0.7856824,-1.4666166,3.1974487,0.25611427,-1.9279462,6.151433,-0.7725535,-0.27344197,2.8121843,0.13989472,-2.0406818,6.44099,0.70574206,0.20076708,2.1891127,0.10725977,-2.3924913
