pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_x,right_shin_y,right_shin_z,left_shin_x,left_shin_y,left_shin_z,right_foot_x,right_foot_y,right_foot_z,left_foot_x,left_foot_y,left_foot_z
0.8926735,0.02900094,1.0107485,0.8937077,-0.055016942,1.02282,0.8916393,0.11301882,0.998677,0.68049955,-0.019552115,0.66090095,1.141075,0.108411364,0.6588807,0.33554137,-0.02001585,0.43954855,1.1642746,0.13160205,0.25032562
0.95308167,0.025236698,1.0112923,0.9525094,-0.058547307,1.0249199,0.95365393,0.10902076,0.9976649,0.76915044,-0.021388682,0.6471638,1.1860532,0.10872391,0.64596707,0.4115042,-0.019979127,0.4469625,1.2348213,0.124847025,0.2393283
1.0130006,0.022393476,1.0091624,1.0100276,-0.0612121,1.0235521,1.0159736,0.1059991,0.9947728,0.8644881,-0.020981843,0.6299778,1.2218314,0.10702602,0.62691075,0.49321708,-0.020841416,0.45633703,1.3057384,0.11648577,0.22583295
1.0730133,0.02006992,1.0020689,1.0680971,-0.06340116,1.0167048,1.0779293,0.10354098,0.98743296,0.9596069,-0.023061277,0.61136115,1.2557664,0.10480917,0.6052377,0.57665145,-0.019339988,0.4653315,1.3761425,0.108941756,0.21346517
1.1322728,0.018380238,0.9897255,1.1276002,-0.06510587,1.0043555,1.1369455,0.10186632,0.9750954,1.0549986,-0.025897836,0.59096384,1.2914519,0.10130921,0.58288574,0.66283447,-0.016506663,0.47216797,1.4425838,0.100757435,0.20189716
1.1869155,0.021087477,0.97218335,1.1823174,-0.06296209,0.9831525,1.1915137,0.10513705,0.9612143,1.1555613,-0.028577762,0.56386423,1.3427575,0.097305566,0.56781256,0.75506055,-0.014299332,0.47790682,1.4890877,0.089700855,0.1850294
1.2384337,0.022372229,0.95051694,1.2343763,-0.062123455,0.9575748,1.2424911,0.106867924,0.94345915,1.263587,-0.023003977,0.5388656,1.3890634,0.092083395,0.5484922,0.8574144,-0.013762739,0.48471946,1.5308356,0.07777274,0.16418877
1.2881237,0.025539406,0.924651,1.2842295,-0.05923864,0.92647135,1.2920179,0.11031746,0.9228308,1.376041,-0.029487014,0.51612216,1.4319983,0.08835909,0.52581173,0.9677966,-0.0036361443,0.4904022,1.5679266,0.06703568,0.13972606
1.3371172,0.028215103,0.8941696,1.3333262,-0.056539375,0.8913224,1.340908,0.112969585,0.8970168,1.487241,-0.038701713,0.49928543,1.4755148,0.08511485,0.498512,1.0800838,0.0080255475,0.49354315,1.6063854,0.058033668,0.11104223
1.389558,0.033404686,0.86018384,1.3840477,-0.050941747,0.8523663,1.3950683,0.11775108,0.86800134,1.5915408,-0.06442004,0.48567045,1.5223403,0.085476875,0.4674254,1.1910074,0.02230968,0.4923233,1.6455898,0.05427051,0.07777298
