right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee,left_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_ankle_x,left_ankle_y,left_ankle_z
0.25710598,0.3924839,0.181502,0.17296618,-0.7445873,-0.16750553,0.47510043,0.5801869,0.04626912,0.5901214,-0.11603145,-0.011513386,0.25491834,-0.08205982
0.2623745,0.3382443,0.15337338,0.19095726,-0.67546546,-0.11824416,0.61363477,0.46616971,0.046701636,0.70834994,-0.1392961,-0.035712227,0.27126375,-0.065885246
0.26823398,0.2743615,0.15170829,0.19876054,-0.5726513,-0.06927303,0.78369737,0.30462855,0.059620075,0.7789855,-0.12939249,-0.05351399,0.28746477,-0.035826452
0.26469404,0.21413541,0.13106057,0.19840647,-0.47262695,-0.026375955,0.9472463,0.13758335,0.065357305,0.8018297,-0.1186271,-0.06939174,0.3055489,-0.0013071796
0.2617478,0.15040213,0.08657515,0.18226556,-0.39693674,0.013875217,1.1027435,-0.002374255,0.08271949,0.8457341,-0.12109345,-0.066264056,0.30578044,0.013067451
0.20878153,0.056482248,0.044000827,0.122070655,-0.3767789,0.014699735,1.293811,0.0018934043,0.10070077,0.9211552,-0.15702844,-0.03509458,0.2860904,-0.038623404
0.17820233,-0.074651316,0.03235381,0.07085101,-0.36162168,-0.05379262,1.5061117,0.0019339568,0.083496675,0.9631772,-0.16973224,-0.024796767,0.35069302,-0.09490657
0.10503735,-0.22804734,-0.022709407,0.002521865,-0.35412705,-0.10887457,1.7227784,0.00045864223,0.07854737,0.9591155,-0.22205502,0.015756503,0.44057927,-0.16603442
0.043519713,-0.39367598,-0.07718223,-0.048900615,-0.35924166,-0.20285831,1.9228747,2.064386e-05,0.06512281,0.96178234,-0.24171244,0.028624048,0.57532,-0.25485244
-0.045121603,-0.5281848,-0.14384077,-0.10590286,-0.33573857,-0.2501637,2.096582,0.0013520318,0.069258615,0.95584196,-0.30119392,0.08561802,0.69621253,-0.34132728
-0.11715482,-0.67698956,-0.22018266,-0.16795476,-0.3274247,-0.3218236,2.179464,0.07047288,0.06568956,0.9594571,-0.3265573,0.016081942,0.27855036,-0.472076
-0.12711337,-0.7383214,-0.20486404,-0.20325588,-0.2088192,-0.2831787,2.1648142,0.0033940237,0.058855332,0.95806724,-0.3880541,-0.044577613,0.24318069,-0.43525746
-0.12285989,-0.82038695,-0.21441963,-0.19118957,-0.18371418,-0.26003549,2.1124406,-0.00610722,0.08159276,0.95645005,-0.36436582,-0.060150724,0.21205498,-0.3907871
-0.12963806,-0.85770595,-0.20364192,-0.19061257,-0.12517652,-0.21712227,2.0526524,-0.00011489725,0.08007812,0.9608177,-0.33604357,-0.03960431,0.16357602,-0.28172684
-0.12798898,-0.9075846,-0.21063693,-0.18500428,-0.07317849,-0.19538185,1.9939477,-0.0014975164,0.08884678,0.9589777,-0.27882653,-0.03716023,0.112320535,-0.18992513
-0.14328532,-0.9580862,-0.22016339,-0.17146753,-0.06469339,-0.14942035,1.9787843,0.05408271,0.091746934,0.95910406,-0.2287973,-0.027301421,0.0152369905,-0.111283585
-0.17143974,-1.0160109,-0.22177063,-0.17793107,-0.007391144,-0.152883,1.9987118,0.053168546,0.0936252,0.94902605,-0.20029199,-0.039114557,-0.045122657,-0.12527469
-0.17751768,-1.0476265,-0.18091935,-0.18157561,0.073109396,-0.11536977,2.0113924,0.04779128,0.08454394,0.9297368,-0.20008457,-0.006679166,-0.11505224,-0.06775786
-0.18136622,-1.1090089,-0.16800942,-0.1638809,0.1299146,-0.095533326,2.0164294,0.013316697,0.076973185,0.9073047,-0.16943163,-0.004579386,-0.14657931,-0.04615015
-0.19519387,-1.1605332,-0.14517887,-0.15377967,0.18490537,-0.08745018,2.0153844,-0.0073651387,0.07339364,0.84152216,-0.1461198,-0.004080358,-0.17217895,-0.03767936
-0.21172556,-1.1933511,-0.10187354,-0.14465302,0.23175007,-0.08249145,1.9954454,-0.007955612,0.067422956,0.74566513,-0.14117263,0.0056134555,-0.16502577,-0.03679969
-0.22540909,-1.2138387,-0.06421324,-0.12650758,0.27077204,-0.08089237,1.953053,-0.009183767,0.05773934,0.64147455,-0.14460154,2.1930968e-05,-0.1072277,-0.03300539
-0.22232208,-1.2107378,-0.026121158,-0.10718033,0.30466977,-0.09294652,1.8840638,-0.007226336,0.04512177,0.5478843,-0.15128075,-0.011988725,0.008938402,-0.008140595
-0.19029312,-1.1728693,0.016927423,-0.082502134,0.3268793,-0.10427923,1.7775519,0.007859877,0.033203706,0.48694685,-0.1281258,-0.035729066,0.18275975,0.029218575
-0.16479297,-1.1163917,0.064788885,-0.07853241,0.32946914,-0.09520732,1.6477337,0.05991759,0.03404205,0.4566469,-0.09507263,-0.04431817,0.38854295,0.08309964
