right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,right_knee_vel,left_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
0.08416551,-0.7855058,-0.52790815,-0.22985353,1.2672012,0.38293505,3.4629467,-1.8557247,0.27110803,0.5680934,-0.2793227,-0.10003841,-0.5703797,0.8852161
0.059861474,-3.3500507,-1.1265194,0.6714258,6.4995875,2.1305087,9.956675,-9.006702,0.20790155,6.6829357,-1.1914443,-1.4339681,0.62491554,0.85818195
0.01902951,-3.5704591,0.38028753,0.6936019,6.691751,1.9838912,10.197325,-9.842189,0.17371821,3.9750319,0.3013168,-1.3455045,0.81267166,1.5624026
0.090537235,-3.5594525,-0.75126374,0.40652442,6.274937,1.9206934,9.686559,-9.961447,-0.010080982,1.3114797,0.63606936,-1.1939774,0.9103811,1.8595725
0.11243733,-4.0674267,-2.0759463,-0.6180116,3.0890317,2.0644395,9.662372,-3.6402807,0.77711266,2.5295637,0.034380086,0.120708786,-0.08689813,1.1738135
-3.1380732,-5.364468,-2.0549192,-3.0466747,2.5828223,0.24793053,12.1223135,-0.10996142,1.4736687,4.27597,-1.66345,1.9323575,-1.1410601,-2.940942
-1.9171122,-7.3669853,0.2587217,-4.1811986,1.9334188,-3.398738,13.333463,-0.12162399,-0.5236982,-0.03510657,-1.5915904,1.1229461,3.7705827,-2.9705148
-4.3290973,-8.905198,-2.0341334,-3.7078083,0.946679,-2.2846174,13.088543,-0.051730804,1.0481524,0.030039832,-2.2396681,2.549336,5.087499,-3.5158713
-3.485672,-9.684322,-1.9321065,-3.9771547,0.04031235,-4.7398763,11.940759,-0.04080965,0.24980491,-0.11272728,-1.5941672,1.1861849,7.783419,-4.7256107
-5.149845,-7.917958,-2.3514495,-2.5844955,1.1113467,-1.9451358,10.060625,0.4782094,1.9711242,-0.041867983,-2.740776,3.0298476,6.9294167,-4.2501197
-3.986565,-8.966646,-3.3956964,-5.3103094,1.1734285,-2.5942929,2.5021133,2.9084306,1.2037439,-0.3079685,-1.8516359,-1.5428423,-24.029312,-7.0104365
0.08793129,-3.8030343,1.5340343,-1.3458407,4.9497833,2.7977638,-1.6662853,-3.1875157,1.3703681,-0.04653226,-3.0329278,-0.4432341,3.6656606,0.99373245
0.6780174,-4.5200806,-0.977697,0.7619211,0.95656234,1.4471459,-3.5744965,0.20134261,0.09843795,-0.01831736,1.5889088,0.52659214,0.16542143,2.904365
-0.10091691,-2.1987748,0.5828615,-0.09225877,3.4407723,2.977077,-3.6148183,0.03255222,-0.6654312,0.0013484617,1.1883601,1.0479966,-2.2580225,6.4376454
0.33083677,-2.8416936,-0.6622669,-0.27114144,3.3658857,1.4727701,-3.3723392,-0.082353525,-0.92870575,-0.0028354963,2.9568782,0.16471866,-3.4867427,4.999033
-0.8039556,-2.87258,-0.28793612,1.1550308,0.33893836,2.7373555,0.15361926,3.4231684,-0.9595766,0.017907387,2.46158,0.75324523,-5.7418246,4.2962747
-1.5608565,-3.3221595,0.30564478,-0.47226948,3.6019158,-0.4581905,1.5452712,0.3445424,-0.43234488,-0.63147336,1.5032477,-1.356111,-7.3654375,-0.5830178
1.0959916,-1.9973799,1.90415,0.12331508,4.3883862,3.2390528,0.52989405,-0.8157253,-0.3095157,-1.1213905,-0.13094953,2.896518,-1.9849215,4.710372
0.5811984,-3.5924065,0.2435312,0.93437237,4.051298,2.0231133,0.2334154,-3.447319,-1.023972,-1.2843629,1.3847044,0.2619282,-0.5503106,2.431506
0.017459255,-2.9875603,1.0872418,0.51643556,2.5391803,0.49539542,-0.45017558,0.014638543,-0.4773927,-3.6906996,1.3120288,-0.47864643,-0.40763497,0.2682707
0.44522688,-2.0122483,2.2177515,0.7424503,2.280303,0.37411442,-1.7832942,0.11240875,-0.074539274,-5.4102283,0.44421023,-0.4550527,2.1980813,0.016161256
0.47943288,-1.3733288,1.9226497,1.0793186,2.0315845,0.37486994,-2.9814796,0.038635716,0.050682798,-5.9002914,-0.12220349,-0.83285606,4.96189,0.36069393
1.2365097,-0.0010492401,1.5652086,0.9654696,1.4531385,-0.3819846,-4.6087465,0.45565516,-0.032546595,-5.3054247,-0.40251347,-0.739337,8.533923,1.5424464
2.7060113,2.0065827,1.0827439,1.2039902,0.21990043,-0.37562263,-7.009923,1.6692979,-0.6467451,-3.4258199,1.1376691,-1.1562915,11.605719,2.3419075
2.6731856,2.9371464,1.6675392,-0.06197071,-0.6494898,0.54725504,-8.035355,4.0874367,-0.22430515,-1.6967015,1.7254127,-0.90440845,11.534149,2.9981306
2.5272818,4.1733227,0.6870083,-0.2743604,-2.8085742,0.0031547546,-9.912,8.480446,0.11790274,-0.8006493,0.782719,-1.0223718,5.348593,1.2271631
2.0489197,4.9027243,1.767743,-0.50900894,-2.3047028,-0.8745264,-10.15944,8.522142,-0.14742866,-2.0441525,0.061755653,-0.31914046,2.9475787,0.4729376
1.7011597,5.1616535,1.6618693,-0.781499,-2.341153,-1.1100417,-10.742436,8.662519,0.050300296,-3.6802814,-0.9608063,-0.15080924,2.7432702,-0.15063246
1.079779,5.518258,0.6573416,-1.3506166,-2.1560724,-1.2033683,-11.503517,8.594272,0.4352379,-3.8576074,-2.3023908,0.47406566,2.4967887,-1.174968
0.92298216,6.3458996,-0.53829306,-1.2338631,-2.8630419,-0.48543888,-13.559908,9.736941,0.7988918,-4.2623053,-2.9947016,1.1324937,2.9300866,-2.0677543
1.164973,6.56559,-1.6318731,-0.9762087,-1.160264,-0.48085693,-13.4933,7.9006753,1.2896155,-6.095538,-2.5113134,1.0629956,3.0612833,-2.5222073
1.8485148,4.302142,-1.423618,0.6891235,1.803354,0.8521315,-9.024288,3.8631895,0.9381567,-7.4187217,0.5635604,0.7571345,4.4658794,-1.1440686
5.6239347,1.549193,-2.8073826,3.937349,-2.0844498,4.2731314,2.486307,7.0779204,-3.7968779,-5.502396,-5.3927746,0.69036186,8.245789,-0.38374054
2.3447695,5.8234506,-1.8757677,2.825382,-1.4489841,3.2591794,-1.7234607,7.39707,1.3946013,-2.2345376,3.2606316,-0.44743106,-0.17577201,0.5337113
0.31528148,4.3494196,-0.39020944,0.50320196,-1.9111383,-0.23965016,0.9741843,6.614794,-2.7645922,-2.6349638,6.001081,-1.1954677,-2.3747342,1.9251126
1.0825315,5.976388,-1.8226132,1.7538056,-3.8700495,1.8660877,-4.212496,7.801121,-0.6034391,-0.7252524,2.1143727,-1.441674,-2.628165,1.582256
0.38105538,4.372885,-0.7160953,1.4839925,-4.084006,0.6780418,-1.8135765,7.027539,-1.6559563,-1.9547622,1.5755448,0.0050358167,-4.426622,-0.12981565
0.78230757,4.819632,-0.7820645,2.237194,-5.355793,1.2153343,-3.937629,7.1722984,0.077903956,-1.1504196,0.2791056,0.816365,-3.3184855,-0.9465334
1.8273312,5.258202,-0.7559253,3.2214153,-6.7850084,0.646285,-5.8973207,7.5344567,-0.6320102,-0.0009367168,-0.3837009,0.523241,-2.8054748,-1.1725473
0.57875574,3.2317257,1.2645742,2.264881,-7.1989408,2.3015087,-1.1338813,7.067192,-0.5846082,-3.1507134,0.7156449,0.7247571,-2.7095196,-1.57137
0.00026660273,3.9876163,1.7355801,2.4651074,-6.9387035,1.1859314,0.14899501,6.5364704,0.87292665,-1.8982792,-0.6815208,0.89571416,-1.8203952,-1.1727021
-0.151927,2.8581247,1.4122264,2.177747,-8.430528,1.2779682,0.031582743,4.653041,0.484376,-2.0044456,-0.8111365,0.5577642,-1.5155385,0.252646
-0.088421725,2.2627273,0.5406364,1.5797377,-8.310834,-0.011969246,0.078346685,2.2522063,-0.66098785,0.6878157,-0.31122196,-0.073989,-2.5618935,0.08267999
-0.033340868,2.4750159,-0.46332702,0.8212515,-6.9211226,-0.6489045,0.19942592,-0.11609715,-0.7302036,2.4336686,-0.24813695,-0.24784234,-3.0723574,0.038941104
-0.004383154,1.4104217,-1.8846312,0.43193746,-5.736019,-0.62942487,1.1914272,-2.432694,-1.3228064,5.451559,-0.65725195,-0.33751908,-2.7020109,0.90005666
-0.019922536,0.8652963,-2.5204072,-0.43234518,-4.5673294,-0.77170175,-0.43516397,-4.2628345,-0.8603765,9.8347435,-0.41079167,0.08027579,-2.7626274,1.4936671
-1.2900411,-1.4136287,-1.4902905,-3.030264,-0.8655635,-0.57950807,3.0748563,-7.1383977,-0.65170527,11.721502,-0.9546872,0.38282475,-5.1233926,-0.016801767
-3.8755968,-3.051407,0.77751017,-5.40598,2.862824,0.9281261,6.262189,-9.636294,-0.38952312,14.906652,-1.5548909,-0.10482109,-6.949037,-1.9841242
1.0398656,-3.9430296,2.223112,-2.3630402,3.887439,0.2972697,10.228727,-10.660671,-0.71245533,11.071852,0.84600943,0.3305391,-3.966474,-1.1978623
0.39132315,-0.80067223,2.6868622,-0.8052465,3.5407434,0.66169846,5.7231073,-9.19001,-1.4835542,0.24990882,1.1276046,0.28592056,-2.8770528,-0.6267204
0.96897423,-1.6353418,-0.596454,-0.9435695,4.86024,-1.2680018,7.851246,-10.52673,0.3414158,1.406853,0.24495071,-0.21088232,-1.1366291,0.7860021
0.31322852,-1.5073038,-0.19963337,-1.7128015,5.4948683,0.25029117,7.83193,-11.616339,0.34708452,3.532358,0.28554162,-0.4471949,-3.091137,2.2987304
-0.67790556,-2.2394307,-0.7589572,-2.1637592,6.5272927,1.025287,9.198443,-13.696368,0.4579625,1.5805557,0.10823127,-0.29519516,-2.959288,1.880821
-1.2205445,-2.796201,-0.8533594,-2.8236146,7.4552417,1.7294081,9.976335,-16.229914,0.4016673,1.1350826,0.09257912,0.30006796,-3.2071087,1.3908424
-1.7449796,-1.2620453,-1.085509,-2.735044,4.8765626,1.4129131,7.810978,-5.813905,0.2953655,1.001262,0.638466,-5.628108,-18.031763,-0.8290024
-2.7102623,-1.3319811,-1.2845278,-1.6412588,4.4989996,0.10656047,7.79968,-0.39963102,0.2705023,-0.6493873,-1.1448181,4.383177,-7.489256,-8.242411
-2.0845752,-5.3693533,-1.4178507,-2.9185314,4.4859896,-0.14726731,10.028907,-2.2419891,0.4049784,-2.0438817,-1.2317356,1.7294797,-2.4150558,0.4773207
-2.3517966,-4.2688527,-2.1951182,-1.503294,2.9132931,1.0344623,8.011626,0.888079,1.1390436,0.79596126,-0.9518148,-0.04994893,-2.1260219,-1.5593929
-1.059264,-5.3284025,-1.0636232,-0.8508459,4.743782,0.19111782,8.288726,-2.1317992,0.46286145,-1.6581767,-0.8004278,-1.3695377,-2.1164248,-0.46332455
-2.1017115,-6.224776,-0.93284124,-1.326971,4.966019,0.71583176,7.7781,-2.9404368,0.28417927,-0.29530224,-0.3829382,0.29835606,-1.2406969,-0.6368719
-1.7892603,-7.305639,-0.3124714,-1.3134093,5.1381016,-0.54345036,6.9196787,-3.8854795,-0.4623656,0.27582863,0.39217678,0.44374198,-0.6551349,0.74907494
-1.6679734,-7.9034457,0.6006054,-0.8342718,5.3935566,0.32159987,5.854839,-4.4992123,-0.41240892,0.796688,0.73954433,0.23579893,-0.41255534,0.63403285
-1.4211614,-8.543779,0.69150007,-0.8933239,6.164339,-0.2922263,4.684572,-6.012216,-0.42632163,0.5132315,0.94450974,0.37514552,0.18524255,1.3463808
-1.3934902,-8.454717,0.02704088,-0.31268394,6.2669144,0.19334127,3.2286317,-6.522225,-0.5100165,0.2747963,1.111394,1.0647988,0.71040875,2.5425355
-0.8405458,-7.30611,-0.08902751,0.603402,4.9475846,0.57617277,1.0241494,-4.4942975,-0.5006727,-1.2635202,0.92253435,0.0118430555,2.5482607,0.93857545
-0.832778,-5.534461,0.3630434,1.3581538,4.3298597,1.3357934,-1.2054402,-3.8243062,-0.14373572,-4.151263,-0.024165379,-0.1924094,5.2556477,-0.3731867
-0.77016926,-2.6640637,0.9706978,1.1675284,2.5024242,1.0546149,-3.5357819,0.12185359,0.37919667,-4.31176,-1.9530982,-1.2112591,7.895206,-1.1719558
0.9288731,-0.6942401,1.610803,1.5686861,1.2651639,0.03411538,-5.549315,0.7075965,0.38091254,-3.977066,-2.0807931,-0.9151977,11.299666,0.1383703
2.9713628,2.2997317,-0.55108714,2.2845216,-1.2143173,-0.70954627,-8.421913,3.7858248,-0.18788685,-3.530477,0.4390628,-0.5546781,13.363172,2.1540482
2.3360999,2.4156296,0.074328005,0.38888693,-1.6078454,-0.14489834,-8.767943,4.7094812,-0.32767722,-4.010086,2.5748231,-1.5711839,14.8941965,3.2403617
1.5614088,2.6001573,0.11134956,-0.4770931,-2.659785,-0.92306083,-9.506013,6.7883835,-0.016619267,-0.8592444,1.0708278,-0.95450675,4.710036,0.96807975
2.1084533,3.5869484,1.7467152,-0.39004514,-2.8684103,-0.26971003,-10.204057,7.735893,-0.5410965,-3.262105,1.4072077,-0.74489075,4.4437404,1.1288356
1.7597599,4.211779,1.2013036,-0.7602582,-3.2176979,-0.782944,-11.238166,8.769554,0.06395111,-2.6303174,0.21068832,-0.39694813,1.5962435,0.016955253
1.2860485,4.6951084,1.1653643,-0.89677656,-2.9429452,-0.9712976,-11.824682,8.467243,0.3441229,-4.34018,-1.3089678,0.18479757,1.5533285,-0.74966437
1.3513074,6.0754466,0.030529302,-0.5623669,-4.1330214,-0.40699166,-14.663535,10.4590025,0.7387646,-5.281387,-3.0624642,1.0280629,2.3873158,-2.129931
2.163695,6.490837,-1.1851096,0.31781858,-2.5423985,0.045565866,-15.322878,8.8220005,1.0630561,-5.7568,-3.4111764,1.4329417,3.1313972,-2.3976169
3.306609,1.6539004,-0.013613928,2.4189937,0.16660082,1.2576016,2.4540434,5.3130183,-1.5716023,0.7866416,0.32371378,0.3577607,5.879039,-0.2082411
3.1131628,4.1324,-1.2098233,3.635229,-4.1187468,2.4675727,-1.0064511,9.675441,0.9286089,-3.4854486,-0.38013107,1.6394315,2.671071,-1.5927119
