pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,torso_ang_vel_x,torso_ang_vel_y,torso_ang_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,right_upper_arm_ang_vel_x,right_upper_arm_ang_vel_y,right_upper_arm_ang_vel_z,right_lower_arm_ang_vel_x,right_lower_arm_ang_vel_y,right_lower_arm_ang_vel_z,right_hand_ang_vel_x,right_hand_ang_vel_y,right_hand_ang_vel_z,left_upper_arm_ang_vel_x,left_upper_arm_ang_vel_y,left_upper_arm_ang_vel_z,left_lower_arm_ang_vel_x,left_lower_arm_ang_vel_y,left_lower_arm_ang_vel_z,left_hand_ang_vel_x,left_hand_ang_vel_y,left_hand_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
-0.11660204,0.07041378,-0.38387114,-0.13878225,0.14413069,-0.060455605,-0.06396419,-0.27723452,-0.02593115,-0.3257366,-0.7910971,0.010554098,-0.22851871,-1.3414364,0.15293592,-0.22851872,-1.3414364,0.15293615,0.84752965,0.86027604,2.2135644,0.8186982,1.1802958,2.2521605,0.8186982,1.1802958,2.2521605,-0.072604194,1.1346836,0.14468597,-0.17367734,0.62865686,0.16123924,-0.4472156,1.805416,0.30517787,0.2691547,0.4524736,-0.22365423,-0.016603725,-1.6656177,-0.47424436,-0.0709805,-0.85141546,-0.3196009
-0.1560087,0.063465066,-0.4702435,-0.22007765,0.15675412,-0.023212122,-0.06838066,-0.37701476,-0.029788762,-0.44050768,-0.94413203,-0.0376765,-0.30123517,-1.7442837,0.17348163,-0.30123523,-1.744284,0.17348276,1.1978759,1.1322335,2.9786692,1.1409035,1.6002519,3.0430675,1.1409035,1.6002519,3.0430675,-0.05643774,1.5505246,0.30662018,-0.186155,0.91096336,0.3283944,-0.6809513,2.6262808,0.3880765,0.24121264,0.33921814,-0.2611376,-0.017462958,-1.6208737,-0.49097344,-0.002754068,-0.71501774,-0.49897382
-0.1533195,0.027836686,-0.45359194,-0.3014479,0.11942056,0.06022265,-0.05087483,-0.44478613,-0.034470033,-0.50998634,-0.87868315,-0.13122502,-0.3374473,-1.8898902,0.14197522,-0.33744752,-1.8898915,0.14197962,1.5131949,1.2424945,3.5004735,1.4116437,1.855989,3.5997732,1.4116437,1.855989,3.5997732,0.002204887,1.7965494,0.5496069,-0.12744932,1.2007071,0.57045496,-0.9142737,3.3789997,0.40621474,0.072873086,0.004165101,-0.20623931,-0.034076754,-0.88828987,-0.30927908,0.10641631,-0.027265549,-0.63207316
-0.073108904,-0.01990333,-0.32677123,-0.3647694,0.037401088,0.16412354,-0.011595886,-0.47565377,-0.04832748,-0.5211091,-0.59241515,-0.262982,-0.3309952,-1.7358028,0.05385724,-0.33099604,-1.7358068,0.053870685,1.7564131,1.1418202,3.7346938,1.5938386,1.8904086,3.8778741,1.5938386,1.8904086,3.8778741,0.09206574,1.7943698,0.8475567,0.0017440992,1.5174297,0.856937,-1.1253375,4.0135174,0.34316993,-0.20649192,-0.42178962,-0.04029539,-0.0870392,0.33577654,0.045599896,0.18675552,1.1937089,-0.6389513
0.09929861,-0.053789843,-0.13368729,-0.40420073,-0.06776449,0.2505332,0.047615282,-0.47856432,-0.07399947,-0.47950178,-0.1644592,-0.41862667,-0.2880654,-1.3538564,-0.080805585,-0.28806746,-1.353866,-0.080773495,1.84583,0.8444865,3.6442814,1.6142027,1.7079983,3.8350549,1.6142027,1.7079983,3.8350549,0.18642546,1.5409917,1.1432066,0.16825268,1.8867687,1.1294757,-1.3290969,4.5797443,0.19346127,-0.50610256,-0.75600153,0.1990215,-0.1763756,1.6130378,0.45769483,0.17919439,2.680848,-0.50737554
0.34124896,-0.06292452,0.060362145,-0.43000087,-0.17275636,0.29415777,0.12248318,-0.46173057,-0.10527113,-0.39587337,0.31773257,-0.5841478,-0.21557337,-0.8471506,-0.24616161,-0.21557723,-0.8471685,-0.24610184,1.6686945,0.40284127,3.135609,1.377401,1.3361019,3.3657014,1.377401,1.3361019,3.3657014,0.25778952,1.0709407,1.3678749,0.32337958,2.3008728,1.3225554,-1.5686674,5.1651235,-0.048964966,-0.73544645,-0.89809775,0.44184253,-0.27688873,2.5881872,0.8023417,0.08433697,4.0456247,-0.31882992
0.5960699,-0.06415871,0.20277613,-0.45573944,-0.25555757,0.287429,0.193771,-0.43001455,-0.13661161,-0.28112608,0.7990378,-0.7406634,-0.11999731,-0.28844282,-0.42009586,-0.12000297,-0.28846887,-0.42000905,1.2163074,-0.102339864,2.2244043,0.8947407,0.82480717,2.4713836,0.8947407,0.82480717,2.4713836,0.28597164,0.42664653,1.4683837,0.4227562,2.7198846,1.388459,-1.87629,5.8143773,-0.37690946,-0.8592508,-0.84744954,0.64092857,-0.36602303,3.1519527,1.0238733,-0.058501948,4.9513288,-0.18416014
0.799459,-0.088978104,0.27075735,-0.4823258,-0.29449093,0.22916897,0.22628728,-0.3926481,-0.16790088,-0.14558537,1.2499324,-0.8635122,-0.009164442,0.2884145,-0.5771334,-0.009170891,0.28838503,-0.5770351,0.66079926,-0.5772826,1.1677395,0.35035518,0.25544444,1.4011312,0.35035518,0.25544444,1.4011312,0.2615128,-0.34077573,1.426273,0.4414896,3.0953214,1.3136228,-2.2403855,6.452569,-0.75438106,-0.9000465,-0.6370333,0.7892434,-0.44382676,3.379506,1.1368738,-0.21649982,5.2318997,-0.16142215
0.9129277,-0.15422818,0.26805326,-0.49527165,-0.27650574,0.118072845,0.19348308,-0.36592564,-0.1940418,0.005603912,1.6455374,-0.9366475,0.11224045,0.86737,-0.70274794,0.11223474,0.867344,-0.7026613,0.23223744,-0.95817745,0.3038983,-0.029129649,-0.28940526,0.49683067,-0.029129649,-0.28940526,0.49683067,0.19007315,-1.1553532,1.2590394,0.38214839,3.3742728,1.1187856,-2.6061752,6.8470306,-1.1261607,-0.8930906,-0.29584342,0.8765047,-0.51442385,3.3901346,1.1588001,-0.3685535,4.91448,-0.2380729
0.9383103,-0.24678539,0.21056204,-0.47489664,-0.2081229,-0.041946255,0.10096635,-0.36440247,-0.1993487,0.17355704,1.9610214,-0.9633221,0.24498123,1.4366155,-0.80148095,0.2449773,1.4365976,-0.8014214,0.041055776,-1.2464031,-0.20371467,-0.14964123,-0.77176064,-0.065122075,-0.14964123,-0.77176064,-0.065122075,0.091032654,-1.9217716,1.0037262,0.27060202,3.4950945,0.8427765,-2.8996568,6.6861835,-1.4376706,-0.8498511,0.14376111,0.8582669,-0.56368697,3.2642298,1.066778,-0.48880008,4.167851,-0.36371118
