pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,torso_lin_vel_x,torso_lin_vel_y,torso_lin_vel_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,right_upper_arm_lin_vel_x,right_upper_arm_lin_vel_y,right_upper_arm_lin_vel_z,right_lower_arm_lin_vel_x,right_lower_arm_lin_vel_y,right_lower_arm_lin_vel_z,right_hand_lin_vel_x,right_hand_lin_vel_y,right_hand_lin_vel_z,left_upper_arm_lin_vel_x,left_upper_arm_lin_vel_y,left_upper_arm_lin_vel_z,left_lower_arm_lin_vel_x,left_lower_arm_lin_vel_y,left_lower_arm_lin_vel_z,left_hand_lin_vel_x,left_hand_lin_vel_y,left_hand_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
0.64754635,0.07875364,-0.042230174,0.66767496,0.08916969,-0.04610227,0.694159,0.11242651,-0.04623143,0.6845825,0.11424877,-0.025217656,0.8487875,0.05031117,0.05692733,0.942789,0.0648295,0.31751856,0.7084269,0.11771033,-0.061042868,0.5108924,0.042125072,0.042816315,0.23402457,0.08546563,0.12067513,0.62156516,0.08327785,-0.03377944,0.24510315,0.045060616,0.0425117,0.06674445,-0.032202072,0.14331667,0.6735279,0.07422917,-0.050680913,0.5248515,0.124609485,-0.12920094,1.0942261,0.06407699,0.059742507
0.97746253,0.11904174,-0.064075686,1.0007598,0.13563061,-0.068933666,1.0336033,0.17538989,-0.06865941,1.0273265,0.17796081,-0.033858873,1.2421737,0.080781855,0.0768209,1.3724184,0.097283475,0.44576013,1.045804,0.18219775,-0.09557914,0.7662073,0.07569818,0.053992543,0.36254284,0.13472359,0.17244543,0.9422695,0.12529804,-0.051971138,0.38921198,0.07252635,0.065589555,0.11554684,-0.046322603,0.22443448,1.0126561,0.1127851,-0.07618023,0.87060046,0.1595454,-0.15116444,1.520165,0.08731963,0.06207329
1.278579,0.15496324,-0.08347921,1.2976081,0.17453109,-0.08797644,1.3281763,0.23317331,-0.08689086,1.3328661,0.23625454,-0.037132442,1.5547494,0.10838986,0.083364226,1.7042847,0.11977247,0.51920176,1.3292046,0.24008103,-0.12892441,0.9986639,0.113585465,0.051958334,0.49645078,0.18065067,0.20816104,1.2402873,0.1618719,-0.07013912,0.55294365,0.09954264,0.084826276,0.17939343,-0.059530325,0.3110875,1.3168713,0.14805426,-0.09681931,1.257763,0.16167426,-0.12745526,1.7555355,0.09546222,0.032958932
1.5014911,0.17890681,-0.09486541,1.5095966,0.19129157,-0.097274125,1.5276127,0.26715314,-0.09512382,1.5488657,0.27046028,-0.032519866,1.7210156,0.1202997,0.071919195,1.8657602,0.11705375,0.5082077,1.5101026,0.27253437,-0.15239528,1.1796458,0.14200634,0.0332664,0.6322389,0.20653231,0.21585518,1.4688417,0.18469104,-0.08552567,0.73424006,0.11783184,0.091385186,0.25889865,-0.07339104,0.3971121,1.5341411,0.17312235,-0.10420515,1.6138892,0.12869857,-0.05976319,1.7254865,0.081761435,-0.025463415
1.6423447,0.18906173,-0.093921386,1.6381588,0.17763546,-0.09292103,1.6359874,0.26600534,-0.08975907,1.6735872,0.26946777,-0.018470936,1.7492985,0.10753045,0.04756618,1.8691801,0.08007981,0.42046824,1.5987707,0.2689737,-0.1597873,1.3212259,0.14835209,7.935464e-05,0.78923064,0.1990317,0.1903687,1.6227194,0.19194281,-0.09564246,0.9436026,0.12219861,0.07906913,0.36009383,-0.09049752,0.48281145,1.6619705,0.18618058,-0.09220031,1.878527,0.079305604,0.02791528,1.4925327,0.050283052,-0.0894103
1.7248433,0.18859331,-0.078356214,1.7123204,0.13571818,-0.07354012,1.6870389,0.2320265,-0.06967245,1.7351263,0.23591271,0.006791365,1.6888684,0.07244353,0.02160785,1.7733706,0.013071315,0.2875757,1.6353526,0.23289083,-0.14958717,1.4528694,0.1315404,-0.043052826,0.99451935,0.15665317,0.12997606,1.721237,0.18755408,-0.0976388,1.1925439,0.113904685,0.046676006,0.49490464,-0.10988783,0.56967926,1.7284493,0.18963261,-0.05907362,2.028616,0.038506947,0.10979126,1.1893669,0.012881988,-0.12692977
1.7711653,0.18251354,-0.04953931,1.7546769,0.077673346,-0.04131918,1.7083824,0.17986241,-0.037173808,1.7583654,0.18468383,0.043357812,1.5827203,0.02952108,0.0034488628,1.6287942,-0.06560811,0.1399369,1.6510513,0.17993739,-0.12540546,1.5887774,0.10404892,-0.09068285,1.2538927,0.095103055,0.038603444,1.7816751,0.17771287,-0.089616306,1.481665,0.0990976,-0.0029379204,0.674838,-0.12636393,0.6555729,1.7606546,0.18731435,-0.009462306,2.0743792,0.021408161,0.17050157,0.9190824,-0.020142555,-0.12100949
1.7902542,0.17530625,-0.013236317,1.7691866,0.020717494,-0.0023661477,1.7090347,0.12837553,0.0015643111,1.7519261,0.13464172,0.0865246,1.4506716,-0.0019392195,-0.0048532663,1.4575564,-0.1308599,-0.0072028763,1.656169,0.12949726,-0.09384172,1.7182268,0.083387725,-0.13504317,1.5375025,0.04334668,-0.068022184,1.80969,0.16795856,-0.07259934,1.7975783,0.08420389,-0.06413564,0.90213567,-0.13396464,0.73528075,1.7708179,0.18265414,0.046126705,2.0354354,0.027944505,0.20093782,0.71052194,-0.047016915,-0.08230405
1.7834585,0.17013428,0.023661045,1.7515703,-0.020334115,0.03643356,1.6888548,0.090954624,0.039633878,1.7158514,0.0989171,0.12819797,1.3003439,-0.007853891,-0.0066440813,1.2658472,-0.1631763,-0.15048553,1.6511084,0.09502934,-0.059842978,1.8224404,0.081206016,-0.16637501,1.7996476,0.02844277,-0.16514786,1.8056706,0.16197401,-0.04949323,2.1158597,0.07327987,-0.12682916,1.1663083,-0.12808575,0.8034618,1.7612458,0.1782947,0.096815325,1.9258096,0.04711373,0.1947208,0.54225713,-0.0721894,-0.038574517
1.7535475,0.16880976,0.058265653,1.7037078,-0.038983583,0.07218587,1.6506716,0.07037174,0.07426028,1.6533959,0.0798735,0.16243027,1.141591,0.01456761,-0.004523015,1.0608587,-0.15765838,-0.2880999,1.6384393,0.07898837,-0.02292236,1.8961791,0.09828582,-0.17678519,2.0146704,0.059215963,-0.23201527,1.7731767,0.16146766,-0.021674119,2.4067316,0.06831262,-0.17475837,1.4488772,-0.10454509,0.85521376,1.7339182,0.17615196,0.13820542,1.7578868,0.06441819,0.1535471,0.39002308,-0.09839599,-0.011508355
