pelvis_x,pelvis_y,pelvis_z,torso_x,torso_y,torso_z,head_x,head_y,head_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_x,left_hand_y,left_hand_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-2.1137996,0.43838927,0.77680206,-2.0798254,0.45590144,1.0098393,-2.0708623,0.4431084,1.2331877,-2.080399,0.25787273,1.2426144,-1.9823596,0.21825054,0.9889871,-1.7461538,0.23851193,0.8848244,-2.1076834,0.62241316,1.2645895,-2.2281175,0.6435987,1.0185096,-2.2772515,0.6622795,0.76495403,-2.1241052,0.3544926,0.78460914,-2.183855,0.3600343,0.36735585,-2.381956,0.3946591,0.010213643,-2.103494,0.52228594,0.768995,-1.8914914,0.53556293,0.40488,-1.7940986,0.56672174,0.007970393
-2.1137996,0.43838927,0.77680206,-2.0798254,0.45590144,1.0098393,-2.0708623,0.4431084,1.2331877,-2.080399,0.25787273,1.2426144,-1.9823596,0.21825054,0.9889871,-1.7461538,0.23851193,0.8848244,-2.1076834,0.62241316,1.2645895,-2.2281175,0.6435987,1.0185096,-2.2772515,0.6622795,0.76495403,-2.1241052,0.3544926,0.78460914,-2.183855,0.3600343,0.36735585,-2.381956,0.3946591,0.010213643,-2.103494,0.52228594,0.768995,-1.8914914,0.53556293,0.40488,-1.7940986,0.56672174,0.007970393
-2.0605447,0.4447674,0.7734028,-2.0240805,0.46277648,1.0060256,-2.0121415,0.45125666,1.2293041,-2.0234692,0.2661921,1.2400216,-1.9083946,0.22140872,0.99454105,-1.6632173,0.24341993,0.9141846,-2.0466576,0.63112587,1.2600899,-2.1852334,0.6452084,1.023221,-2.2587612,0.66829896,0.7760084,-2.073368,0.36128345,0.781876,-2.1650765,0.36298126,0.37043017,-2.3779998,0.39150858,0.021369636,-2.0477214,0.5282513,0.7649296,-1.8583493,0.54914033,0.38889378,-1.6900676,0.5728016,0.015912741
-2.0605447,0.4447674,0.7734028,-2.0240805,0.46277648,1.0060256,-2.0121415,0.45125666,1.2293041,-2.0234692,0.2661921,1.2400216,-1.9083946,0.22140872,0.99454105,-1.6632173,0.24341993,0.9141846,-2.0466576,0.63112587,1.2600899,-2.1852334,0.6452084,1.023221,-2.2587612,0.66829896,0.7760084,-2.073368,0.36128345,0.781876,-2.1650765,0.36298126,0.37043017,-2.3779998,0.39150858,0.021369636,-2.0477214,0.5282513,0.7649296,-1.8583493,0.54914033,0.38889378,-1.6900676,0.5728016,0.015912741
-2.0051453,0.45195282,0.7695575,-1.9692478,0.47238892,1.0020678,-1.9571748,0.46484974,1.2255089,-1.9664562,0.27988338,1.2394152,-1.8463588,0.22933166,0.9974863,-1.596287,0.25119594,0.9339285,-1.9936757,0.6448302,1.2531996,-2.1444368,0.6549117,1.023683,-2.2370894,0.67907184,0.78308916,-2.0193486,0.3688036,0.77905864,-2.1421473,0.36946282,0.37579554,-2.3683684,0.39069197,0.034669816,-1.9909419,0.535102,0.7600563,-1.78388,0.55068713,0.39319998,-1.6319278,0.5767542,0.013431013
-2.0051453,0.45195282,0.7695575,-1.9692478,0.47238892,1.0020678,-1.9571748,0.46484974,1.2255089,-1.9664562,0.27988338,1.2394152,-1.8463588,0.22933166,0.9974863,-1.596287,0.25119594,0.9339285,-1.9936757,0.6448302,1.2531996,-2.1444368,0.6549117,1.023683,-2.2370894,0.67907184,0.78308916,-2.0193486,0.3688036,0.77905864,-2.1421473,0.36946282,0.37579554,-2.3683684,0.39069197,0.034669816,-1.9909419,0.535102,0.7600563,-1.78388,0.55068713,0.39319998,-1.6319278,0.5767542,0.013431013
-1.9457432,0.458201,0.7653564,-1.9114171,0.4769304,0.99824744,-1.9003953,0.47211075,1.2218181,-1.9074823,0.28721637,1.2378159,-1.7910941,0.2306064,0.99541634,-1.5392413,0.25074172,0.9386862,-1.9392383,0.65193516,1.247244,-2.097497,0.6581674,1.0226916,-2.2110147,0.68597656,0.7916203,-1.9592391,0.3748457,0.77404916,-2.1006367,0.3722499,0.37693316,-2.3547368,0.38519996,0.055593908,-1.9322473,0.54155624,0.7566637,-1.712733,0.548733,0.39685398,-1.6112679,0.5737808,0.0005322695
-1.9457432,0.458201,0.7653564,-1.9114171,0.4769304,0.99824744,-1.9003953,0.47211075,1.2218181,-1.9074823,0.28721637,1.2378159,-1.7910941,0.2306064,0.99541634,-1.5392413,0.25074172,0.9386862,-1.9392383,0.65193516,1.247244,-2.097497,0.6581674,1.0226916,-2.2110147,0.68597656,0.7916203,-1.9592391,0.3748457,0.77404916,-2.1006367,0.3722499,0.37693316,-2.3547368,0.38519996,0.055593908,-1.9322473,0.54155624,0.7566637,-1.712733,0.548733,0.39685398,-1.6112679,0.5737808,0.0005322695
-1.883192,0.46368763,0.7672348,-1.847662,0.47377515,1.0004797,-1.8403662,0.47282046,1.2242528,-1.845678,0.2881511,1.2432547,-1.7422154,0.22665846,0.99622715,-1.4903634,0.24018624,0.93756586,-1.8816187,0.652593,1.2459813,-2.0310571,0.6580807,1.0154462,-2.1435616,0.67929995,0.78318334,-1.8954413,0.37986875,0.77272576,-2.035561,0.37498623,0.37517872,-2.3223863,0.38044855,0.08244157,-1.8709426,0.5475065,0.76174384,-1.6394783,0.5494777,0.409435,-1.5853001,0.57381064,0.003890872
-1.883192,0.46368763,0.7672348,-1.847662,0.47377515,1.0004797,-1.8403662,0.47282046,1.2242528,-1.845678,0.2881511,1.2432547,-1.7422154,0.22665846,0.99622715,-1.4903634,0.24018624,0.93756586,-1.8816187,0.652593,1.2459813,-2.0310571,0.6580807,1.0154462,-2.1435616,0.67929995,0.78318334,-1.8954413,0.37986875,0.77272576,-2.035561,0.37498623,0.37517872,-2.3223863,0.38044855,0.08244157,-1.8709426,0.5475065,0.76174384,-1.6394783,0.5494777,0.409435,-1.5853001,0.57381064,0.003890872
-1.8249419,0.46885777,0.76885283,-1.7922565,0.47153798,1.0027156,-1.7869372,0.47519907,1.2265165,-1.791829,0.2909416,1.2492611,-1.7090682,0.22696933,0.9951615,-1.4603012,0.23489954,0.9237078,-1.8289526,0.65523976,1.244184,-1.9688272,0.6617132,1.0077487,-2.0742583,0.6818422,0.77209496,-1.8365476,0.38480762,0.7714382,-1.9441181,0.37601683,0.36394298,-2.2679498,0.37519944,0.1126945,-1.8133361,0.5529079,0.7662675,-1.5826346,0.5542022,0.41345567,-1.5784134,0.5688588,0.0038695931
